week,category,forecast_weekly,oracle
1,Alcoholic Beverages,141.70583612387588,0
1,Bakery and Bread,308.5834927824417,0
1,Beverages (Non-Alcoholic),484.987170098355,0
1,Dairy and Eggs,557.5084691443765,0
1,Fresh Produce,668.3730620380153,0
1,Frozen Foods,131.08602932516106,0
1,Household and Cleaning Supplies,100.54219464119512,0
1,Meat and Poultry,171.15306760826834,0
1,Pantry Staples and Packaged Goods,573.212878884015,0
1,Personal Care and Health,80.9922281910469,0
1,Seafood,62.14593685984356,0
1,Snacks and Confectionery,223.93282890236034,0
2,Alcoholic Beverages,131.05389074925057,0
2,Bakery and Bread,411.4723285216278,0
2,Beverages (Non-Alcoholic),444.90811339890337,0
2,Dairy and Eggs,706.8389794295842,0
2,Fresh Produce,661.9987080253436,0
2,Frozen Foods,171.22401955010739,0
2,Household and Cleaning Supplies,100.19479642746342,0
2,Meat and Poultry,191.8520450721789,0
2,Pantry Staples and Packaged Goods,615.9752525893433,0
2,Personal Care and Health,89.66148546069793,0
2,Seafood,83.76395790656238,0
2,Snacks and Confectionery,199.78855260157354,0
3,Alcoholic Beverages,104.40194537462529,0
3,Bakery and Bread,527.8611642608139,0
3,Beverages (Non-Alcoholic),429.8290566994517,0
3,Dairy and Eggs,906.4194897147921,0
3,Fresh Produce,684.6243540126718,0
3,Frozen Foods,232.6120097750537,0
3,Household and Cleaning Supplies,89.09739821373171,0
3,Meat and Poultry,231.55102253608945,0
3,Pantry Staples and Packaged Goods,674.9876262946716,0
3,Personal Care and Health,88.58074273034896,0
3,Seafood,110.88197895328119,0
3,Snacks and Confectionery,175.39427630078677,0
4,Alcoholic Beverages,79.75,0
4,Bakery and Bread,647.25,0
4,Beverages (Non-Alcoholic),397.5,0
4,Dairy and Eggs,1080.0,0
4,Fresh Produce,670.5,0
4,Frozen Foods,289.0,0
4,Household and Cleaning Supplies,75.75,0
4,Meat and Poultry,270.0,0
4,Pantry Staples and Packaged Goods,724.5,0
4,Personal Care and Health,85.5,0
4,Seafood,136.0,0
4,Snacks and Confectionery,152.25,0
5,Alcoholic Beverages,62.5,0
5,Bakery and Bread,790.0,0
5,Beverages (Non-Alcoholic),439.0,0
5,Dairy and Eggs,1299.0,0
5,Fresh Produce,713.5,0
5,Frozen Foods,347.0,0
5,Household and Cleaning Supplies,55.25,0
5,Meat and Poultry,296.25,0
5,Pantry Staples and Packaged Goods,821.0,0
5,Personal Care and Health,73.5,0
5,Seafood,168.0,0
5,Snacks and Confectionery,158.5,0
6,Alcoholic Beverages,46.5,0
6,Bakery and Bread,764.25,0
6,Beverages (Non-Alcoholic),410.25,0
6,Dairy and Eggs,1278.0,0
6,Fresh Produce,680.75,0
6,Frozen Foods,365.25,0
6,Household and Cleaning Supplies,41.75,0
6,Meat and Poultry,295.75,0
6,Pantry Staples and Packaged Goods,791.5,0
6,Personal Care and Health,64.75,0
6,Seafood,172.25,0
6,Snacks and Confectionery,152.0,0
7,Alcoholic Beverages,49.25,0
7,Bakery and Bread,781.0,0
7,Beverages (Non-Alcoholic),401.25,0
7,Dairy and Eggs,1305.25,0
7,Fresh Produce,679.0,0
7,Frozen Foods,381.5,0
7,Household and Cleaning Supplies,43.5,0
7,Meat and Poultry,296.75,0
7,Pantry Staples and Packaged Goods,752.25,0
7,Personal Care and Health,61.5,0
7,Seafood,172.75,0
7,Snacks and Confectionery,147.5,0
8,Alcoholic Beverages,49.5,0
8,Bakery and Bread,802.0,0
8,Beverages (Non-Alcoholic),395.5,0
8,Dairy and Eggs,1371.5,0
8,Fresh Produce,708.75,0
8,Frozen Foods,419.5,0
8,Household and Cleaning Supplies,45.25,0
8,Meat and Poultry,307.0,0
8,Pantry Staples and Packaged Goods,750.25,0
8,Personal Care and Health,66.75,0
8,Seafood,184.0,0
8,Snacks and Confectionery,143.75,0
9,Alcoholic Beverages,54.75,0
9,Bakery and Bread,790.5,0
9,Beverages (Non-Alcoholic),396.0,0
9,Dairy and Eggs,1441.5,0
9,Fresh Produce,722.75,0
9,Frozen Foods,436.0,0
9,Household and Cleaning Supplies,43.5,0
9,Meat and Poultry,324.5,0
9,Pantry Staples and Packaged Goods,754.5,0
9,Personal Care and Health,68.75,0
9,Seafood,188.5,0
9,Snacks and Confectionery,144.75,0
10,Alcoholic Beverages,65.25,0
10,Bakery and Bread,847.75,0
10,Beverages (Non-Alcoholic),448.25,0
10,Dairy and Eggs,1560.75,0
10,Fresh Produce,771.5,0
10,Frozen Foods,477.0,0
10,Household and Cleaning Supplies,47.5,0
10,Meat and Poultry,352.75,0
10,Pantry Staples and Packaged Goods,804.0,0
10,Personal Care and Health,69.0,0
10,Seafood,206.0,0
10,Snacks and Confectionery,151.25,0
11,Alcoholic Beverages,68.5,0
11,Bakery and Bread,856.75,0
11,Beverages (Non-Alcoholic),461.0,0
11,Dairy and Eggs,1596.5,0
11,Fresh Produce,744.25,0
11,Frozen Foods,508.25,0
11,Household and Cleaning Supplies,46.75,0
11,Meat and Poultry,371.5,0
11,Pantry Staples and Packaged Goods,814.0,0
11,Personal Care and Health,73.0,0
11,Seafood,215.0,0
11,Snacks and Confectionery,158.25,0
12,Alcoholic Beverages,68.25,0
12,Bakery and Bread,839.75,0
12,Beverages (Non-Alcoholic),496.75,0
12,Dairy and Eggs,1628.75,0
12,Fresh Produce,768.5,0
12,Frozen Foods,529.75,0
12,Household and Cleaning Supplies,47.5,0
12,Meat and Poultry,398.25,0
12,Pantry Staples and Packaged Goods,814.5,0
12,Personal Care and Health,72.5,0
12,Seafood,222.0,0
12,Snacks and Confectionery,161.25,0
13,Alcoholic Beverages,65.0,0
13,Bakery and Bread,804.0,0
13,Beverages (Non-Alcoholic),479.25,0
13,Dairy and Eggs,1523.5,0
13,Fresh Produce,722.5,0
13,Frozen Foods,546.75,0
13,Household and Cleaning Supplies,45.25,0
13,Meat and Poultry,386.25,0
13,Pantry Staples and Packaged Goods,751.5,0
13,Personal Care and Health,64.25,0
13,Seafood,213.75,0
13,Snacks and Confectionery,146.0,0
14,Alcoholic Beverages,55.75,0
14,Bakery and Bread,798.0,0
14,Beverages (Non-Alcoholic),451.0,0
14,Dairy and Eggs,1474.25,0
14,Fresh Produce,718.75,0
14,Frozen Foods,541.5,0
14,Household and Cleaning Supplies,46.0,0
14,Meat and Poultry,386.75,0
14,Pantry Staples and Packaged Goods,745.75,0
14,Personal Care and Health,63.75,0
14,Seafood,204.25,0
14,Snacks and Confectionery,147.0,0
15,Alcoholic Beverages,52.25,0
15,Bakery and Bread,772.5,0
15,Beverages (Non-Alcoholic),446.75,0
15,Dairy and Eggs,1439.0,0
15,Fresh Produce,724.0,0
15,Frozen Foods,530.5,0
15,Household and Cleaning Supplies,44.0,0
15,Meat and Poultry,374.25,0
15,Pantry Staples and Packaged Goods,741.25,0
15,Personal Care and Health,65.0,0
15,Seafood,204.0,0
15,Snacks and Confectionery,142.0,0
16,Alcoholic Beverages,58.0,0
16,Bakery and Bread,777.75,0
16,Beverages (Non-Alcoholic),458.75,0
16,Dairy and Eggs,1419.75,0
16,Fresh Produce,713.75,0
16,Frozen Foods,541.0,0
16,Household and Cleaning Supplies,45.75,0
16,Meat and Poultry,362.0,0
16,Pantry Staples and Packaged Goods,747.0,0
16,Personal Care and Health,62.5,0
16,Seafood,201.25,0
16,Snacks and Confectionery,141.5,0
17,Alcoholic Beverages,61.5,0
17,Bakery and Bread,825.75,0
17,Beverages (Non-Alcoholic),488.0,0
17,Dairy and Eggs,1515.5,0
17,Fresh Produce,767.5,0
17,Frozen Foods,544.25,0
17,Household and Cleaning Supplies,47.0,0
17,Meat and Poultry,385.0,0
17,Pantry Staples and Packaged Goods,776.25,0
17,Personal Care and Health,68.25,0
17,Seafood,217.25,0
17,Snacks and Confectionery,156.25,0
18,Alcoholic Beverages,60.25,0
18,Bakery and Bread,819.25,0
18,Beverages (Non-Alcoholic),483.75,0
18,Dairy and Eggs,1544.5,0
18,Fresh Produce,768.25,0
18,Frozen Foods,544.75,0
18,Household and Cleaning Supplies,48.25,0
18,Meat and Poultry,376.0,0
18,Pantry Staples and Packaged Goods,725.25,0
18,Personal Care and Health,68.5,0
18,Seafood,219.0,0
18,Snacks and Confectionery,154.5,0
19,Alcoholic Beverages,62.5,0
19,Bakery and Bread,820.5,0
19,Beverages (Non-Alcoholic),495.25,0
19,Dairy and Eggs,1555.5,0
19,Fresh Produce,788.25,0
19,Frozen Foods,553.75,0
19,Household and Cleaning Supplies,50.0,0
19,Meat and Poultry,396.0,0
19,Pantry Staples and Packaged Goods,719.0,0
19,Personal Care and Health,66.75,0
19,Seafood,210.25,0
19,Snacks and Confectionery,158.75,0
20,Alcoholic Beverages,59.25,0
20,Bakery and Bread,804.75,0
20,Beverages (Non-Alcoholic),479.5,0
20,Dairy and Eggs,1536.0,0
20,Fresh Produce,795.25,0
20,Frozen Foods,544.25,0
20,Household and Cleaning Supplies,48.0,0
20,Meat and Poultry,395.0,0
20,Pantry Staples and Packaged Goods,685.0,0
20,Personal Care and Health,64.75,0
20,Seafood,198.25,0
20,Snacks and Confectionery,155.75,0
21,Alcoholic Beverages,62.5,0
21,Bakery and Bread,799.25,0
21,Beverages (Non-Alcoholic),507.75,0
21,Dairy and Eggs,1529.25,0
21,Fresh Produce,820.0,0
21,Frozen Foods,566.25,0
21,Household and Cleaning Supplies,50.0,0
21,Meat and Poultry,401.5,0
21,Pantry Staples and Packaged Goods,678.5,0
21,Personal Care and Health,68.5,0
21,Seafood,190.75,0
21,Snacks and Confectionery,148.25,0
22,Alcoholic Beverages,66.0,0
22,Bakery and Bread,809.5,0
22,Beverages (Non-Alcoholic),576.0,0
22,Dairy and Eggs,1587.25,0
22,Fresh Produce,870.5,0
22,Frozen Foods,589.75,0
22,Household and Cleaning Supplies,48.5,0
22,Meat and Poultry,423.75,0
22,Pantry Staples and Packaged Goods,711.0,0
22,Personal Care and Health,65.5,0
22,Seafood,196.5,0
22,Snacks and Confectionery,150.25,0
23,Alcoholic Beverages,66.0,0
23,Bakery and Bread,804.75,0
23,Beverages (Non-Alcoholic),600.0,0
23,Dairy and Eggs,1592.5,0
23,Fresh Produce,915.5,0
23,Frozen Foods,596.0,0
23,Household and Cleaning Supplies,47.5,0
23,Meat and Poultry,427.0,0
23,Pantry Staples and Packaged Goods,712.5,0
