t,cost_Alcoholic Beverages,cost_Bakery and Bread,cost_Beverages (Non-Alcoholic),cost_Dairy and Eggs,cost_Fresh Produce,cost_Frozen Foods,cost_Household and Cleaning Supplies,cost_Meat and Poultry,cost_Pantry Staples and Packaged Goods,cost_Personal Care and Health,cost_Seafood,cost_Snacks and Confectionery,utility_rate,wage_rate,storage_rate
1,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,1.0000684954963943,6.000410972978366,14.0,0.020001369909927888
2,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,1.0001369956844217,6.000821974106531,14.0,0.020002739913688436
3,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,1.0002055005644035,6.001233003386421,14.0,0.02000411001128807
4,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,1.000274010136661,6.001644060819966,14.0,0.020005480202733218
5,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,1.0003425244015156,6.002055146409093,14.0,0.020006850488030314
6,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,1.0004110433592888,6.002466260155733,14.0,0.020008220867185775
7,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,1.0004795670103022,6.002877402061813,14.0,0.020009591340206044
8,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,1.0005480953548769,6.003288572129261,14.0,0.020010961907097537
9,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,1.0006166283933347,6.003699770360008,14.0,0.020012332567866692
10,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,1.0006851661259968,6.004110996755981,14.0,0.020013703322519935
11,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,1.000753708553185,6.00452225131911,14.0,0.020015074171063702
12,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,1.0008222556752209,6.004933534051325,14.0,0.02001644511350442
13,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,1.0008908074924259,6.005344844954555,14.0,0.020017816149848516
14,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,1.0009593640051215,6.005756184030729,14.0,0.02001918728010243
15,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,1.0010279252136296,6.006167551281777,14.0,0.020020558504272593
16,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,1.0010964911182718,6.006578946709631,14.0,0.020021929822365437
17,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,1.0011650617193695,6.006990370316217,14.0,0.020023301234387388
18,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,1.0012336370172445,6.007401822103468,14.0,0.02002467274034489
