month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash,year,repairs,owner_draw,retained_earnings,capex,profit_tax_paid
1,60569.50000000011,41654.77854562873,1160.6613714012246,0.0,0.0,2236.7442129642586,141.41995669064346,400.0,2502.373965950601,0.0,0.0,15794.183290511915,2025,0.0,0.0,0.0,0.0,0.0
2,51576.97000000006,37559.40931063787,1160.6613714012246,0.0,0.0,2024.163332610759,146.12933106556045,400.0,1777.0759726032916,0.0,0.0,24303.713972194106,2025,0.0,0.0,0.0,0.0,0.0
3,64924.26000000001,57875.57018892203,1160.6613714012246,0.0,0.0,2245.8013989640685,100.43722923144865,80.0,930.9112004448771,0.0,0.0,26834.59258323088,2025,0.0,0.0,0.0,0.0,0.0
4,61195.08000000006,47652.18860929288,1160.6613714012246,0.0,0.0,2177.826584236792,185.1555897820576,0.0,1587.443745591041,0.0,0.0,35266.39668292596,2025,0.0,0.0,0.0,0.0,0.0
5,66762.32999999981,48083.542812627056,1160.6613714012246,0.0,0.0,2255.2041708941492,105.08119792696753,0.0,2092.798230280059,0.0,0.0,48331.43889979547,2025,0.0,0.0,0.0,0.0,0.0
6,63373.64999999969,63094.35590131983,1160.6613714012246,0.0,0.0,2186.944757680039,87.07280053726082,0.0,212.02399542235617,0.0,0.0,44964.030073433205,2025,0.0,0.0,0.0,0.0,0.0
7,66516.58999999969,52789.09786110267,1160.6613714012246,0.0,0.0,2264.6463105617377,170.88339230502143,0.0,1587.535721719938,0.0,0.0,53507.79541634073,2025,0.0,0.0,0.0,0.0,0.0
8,65558.25999999969,47525.80898446896,1160.6613714012246,0.0,0.0,2269.459914677341,93.84908159709614,0.0,2058.272471190595,0.0,0.0,65958.0035930048,2025,0.0,0.0,0.0,0.0,0.0
9,60058.64999999974,59972.6715757458,1160.6613714012246,0.0,0.0,2200.7690156057065,74.74463656705306,0.0,168.45993431112493,0.0,0.0,62439.347059372114,2025,0.0,0.0,0.0,0.0,0.0
10,60992.53999999926,47844.26604850779,1160.6613714012246,0.0,0.0,3054.8024110674046,154.99390332673232,0.0,1547.9052679471424,0.0,0.0,69669.25805711909,2025,0.0,0.0,0.0,0.0,0.0
11,61415.59999999959,44835.473170952086,1160.6613714012246,0.0,0.0,2726.244415843293,85.10481773793113,0.0,1814.0485166923509,0.0,0.0,80463.32576448926,2025,0.0,0.0,0.0,0.0,0.0
12,60321.350000000035,60513.02087430266,1160.6613714012246,0.0,0.0,2655.5837279868906,192.4311418200248,0.0,100.17933585059382,0.0,0.0,76162.79931312418,2025,0.0,0.0,0.0,0.0,0.0
1,63921.039999999346,45596.879600494096,1160.6613714012246,0.0,0.0,2701.232673278005,125.4159752957283,0.0,2037.2678647479124,0.0,0.0,76246.72440982799,2026,0.0,4919.833005912953,34103.130654566776,0.0,7295.824412163456
2,59286.39999999913,50462.46513688282,1160.6613714012246,0.0,0.0,2376.5693180767853,115.27970351404237,0.0,1027.556325571748,0.0,0.0,77653.04529655898,2026,1800.0,937.5472578210033,35040.67791238778,0.0,0.0
3,60822.499999999,57445.88140221205,1160.6613714012246,0.0,0.0,2578.1174271384193,94.58213746711402,0.0,501.14043652344117,0.0,0.0,76695.16252181627,2026,0.0,0.0,35040.67791238778,0.0,0.0
4,64165.93999999888,51695.53859210766,1160.6613714012246,0.0,0.0,2461.5979624388447,181.65531125526923,0.0,1435.5795575604689,0.0,0.0,81033.70684495736,2026,0.0,2892.3628820941667,37933.040794481945,0.0,0.0
5,70110.97999999883,49911.207356496,1160.6613714012246,0.0,0.0,2520.0967526459867,79.23132469859777,0.0,2240.4876250144634,0.0,0.0,89553.28418680085,2026,0.0,5679.718227897025,43612.759022378974,0.0,0.0
6,57168.25999999916,60045.66293610432,1160.6613714012246,0.0,0.0,2424.6453675631337,85.6852145114318,0.0,-160.7691003908585,0.0,0.0,83165.65839760893,2026,0.0,0.0,43612.759022378974,0.0,0.0
7,62632.77999999975,49986.28669332726,1160.6613714012246,0.0,0.0,2496.267533628885,149.22233534092643,0.0,1463.7584359945477,0.0,0.0,87591.60857579051,2026,0.0,2950.6334521227636,46563.392474501736,0.0,0.0
8,73566.42999999964,69051.46517507237,1160.6613714012246,0.0,0.0,2491.3100921390924,74.66550463836036,0.0,601.8070696588511,0.0,0.0,87703.52104804241,2026,0.0,74.6083148358975,46638.00078933763,0.0,0.0
9,60675.729999999574,47802.77705979804,1160.6613714012246,0.0,0.0,2409.0671224789035,189.46089347441236,0.0,1473.738976342318,0.0,0.0,92287.53579394359,2026,0.0,3056.00983060187,49694.0106199395,0.0,0.0
10,70079.75999999876,51365.20036128353,1160.6613714012246,0.0,0.0,2489.4586012513523,117.27238953157728,0.0,2075.24552336113,0.0,0.0,100010.68884584321,2026,0.0,5148.768701267978,54842.779321207476,0.0,0.0
11,61604.419999999474,64077.07322279998,1160.6613714012246,3634.176,908.544,2812.4104086654866,123.4092201190742,0.0,-156.44557139878634,0.0,0.0,75055.28019425295,2026,0.0,0.0,40842.779321207476,14000.0,0.0
12,64007.03999999931,50597.22813311617,1160.6613714012246,3755.3152,938.8288,2909.2494818441896,222.9535741194272,0.0,1515.0547509781554,0.0,0.0,76799.92940737444,2026,0.0,1163.0994754160565,42005.87879662353,0.0,0.0
1,69329.65999999928,48062.88021771129,1299.9407359693716,3755.3152,938.8288,3000.641738440285,122.18558166395854,0.0,2327.4454572381555,0.0,0.0,72942.27563787648,2027,0.0,3928.968907590487,45934.84770421402,0.0,9751.107130880686
2,58597.009999999005,50396.30540345623,1299.9407359693716,3391.8976000000002,847.9744000000001,2714.134064079658,141.27186472621344,0.0,987.0026923909236,0.0,0.0,71760.75887725194,2027,0.0,0.0,45934.84770421402,0.0,0.0
3,69179.94999999882,66471.76945866022,1299.9407359693716,3755.3152,938.8288,3010.14734542308,233.8521342078113,0.0,405.9281466150105,0.0,0.0,64824.92705637289,2027,0.0,0.0,45934.84770421402,0.0,0.0
4,68921.91999999913,54695.68408801642,1299.9407359693716,3634.176,908.544,2918.25318519889,199.22769215218793,0.0,1623.0410111265355,0.0,0.0,67010.7590288906,2027,0.0,1457.2213150142868,47392.06901922831,0.0,0.0
5,72615.19999999958,67854.08172548615,1299.9407359693716,3755.3152,938.8288,3021.3397205619763,111.76471045998616,0.0,647.7602985345611,0.0,0.0,61996.92783787332,2027,0.0,0.0,47392.06901922831,0.0,0.0
6,71867.58999999883,60207.49372858904,1299.9407359693716,3634.176,908.544,2929.491461047772,237.40045240662297,0.0,1387.0208142088395,0.0,0.0,62755.04152253666,2027,0.0,505.40912311087396,47897.47814233918,0.0,0.0
7,70840.22999999869,53664.71061471723,1299.9407359693716,3943.0809600000002,985.7702400000001,3033.2705757897334,157.1598419772104,0.0,1961.6813887343214,0.0,0.0,66231.81090821949,2027,0.0,2317.8462571243276,50215.32439946351,0.0,0.0
8,66681.58999999957,65643.6286635238,1299.9407359693716,3943.0809600000002,985.7702400000001,3039.50141244265,110.97472426025207,0.0,294.2793787136843,0.0,0.0,57596.224793305366,2027,0.0,0.0,50215.32439946351,0.0,0.0
9,62773.29000000013,53344.228543952464,1299.9407359693716,3815.8848000000003,953.9712000000001,2947.358546957828,222.941534587183,0.0,1117.4299751814042,0.0,0.0,56667.75945665478,2027,0.0,0.0,50215.32439946351,0.0,0.0
10,69859.0099999992,50685.65933104874,1299.9407359693716,3943.0809600000002,985.7702400000001,3051.96701364586,133.8517401319638,0.0,2194.6977396585744,0.0,0.0,61206.18480037955,2027,0.0,3025.616895817875,53240.94129528139,0.0,0.0
11,64200.05999999935,64171.778698274946,1299.9407359693716,3815.8848000000003,953.9712000000001,2959.517786518182,103.30042431142965,0.0,135.37885163447572,0.0,0.0,51966.47230366915,2027,0.0,0.0,53240.94129528139,0.0,0.0
12,61937.559999999234,49224.43228190623,1299.9407359693716,3943.0809600000002,985.7702400000001,3064.6123718997433,207.60048746038004,0.0,1445.0810542605586,0.0,0.0,53026.6974247694,2027,0.0,706.8167474011802,53947.758042682566,0.0,0.0
