t,token,payment,value
2,,cash,5.38
2,C3C6E6D55,card,8.09
2,CDAA6F324,card,8.09
2,C78DD78F3,card,20.39
2,,cash,11.15
3,CB54C4411,card,12.79
3,C5384CDE0,card,3.38
3,CF1BB53BF,card,5.79
4,C8FF3D90E,card,19.79
4,C2E2A5EDD,card,1.98
4,CCC62A4AC,card,12.79
5,C6A992A7B,card,5.79
5,,cash,1.69
5,CA7083999,card,8.09
6,C4540BF68,card,11.15
6,CE3770527,card,5.18
7,C81AF8AF6,card,3.58
7,C1FE61045,card,25.58
8,,cash,4.38
9,,cash,7.58
9,CFA8C65B2,card,11.59
9,C98C4EB01,card,3.58
9,,cash,5.27
10,CD533F6AF,card,6.18
11,C736A7C7E,card,1.9
11,C11A2C5CD,card,7.79
11,CAFD94B9C,card,3.79
11,,cash,2.55
11,,cash,2.29
11,,cash,8.79
11,C28B72258,card,5.57
12,CC6EFA817,card,13.0
12,C652631E6,card,1.29
12,,cash,8.09
12,CA1953D04,card,0.99
12,,cash,8.79
13,,cash,16.17
13,,cash,11.15
13,C1A7317C0,card,7.89
14,CB8AB9D9F,card,2.29
15,,cash,7.17
15,CF519693D,card,4.38
15,C9351EE8C,card,9.08
16,,cash,5.3
16,,cash,2.58
18,,cash,20.39
18,C0C2FC948,card,3.58
18,CAA664F07,card,2.29
18,C489ED4D6,card,1.9
18,,cash,3.38
19,C850DA074,card,8.38
19,C234429C3,card,3.18
19,,cash,3.18
19,C5FB33561,card,9.39
20,,cash,4.38
20,,cash,11.15
20,,cash,2.58
20,CD8910C2D,card,7.15
20,C76C995FC,card,2.19
20,C15001B4B,card,1.79
20,CB337611A,card,3.69
21,C516FE6E9,card,0.99
22,,cash,5.56
22,C8DDEF277,card,2.09
23,,cash,7.66
23,CCA4DC195,card,5.1
23,C68844764,card,1.19
23,,cash,3.09
24,CA4F35282,card,1.98
24,C432BD851,card,5.57
24,CE1625E20,card,0.99
24,C7F9AA7FF,card,7.79
25,C1DD12D4E,card,8.49
25,,cash,9.08
25,C5A4038EC,card,0.99
25,CF878BEBB,card,1.79
25,C96AF040A,card,7.58
25,C34E78DD9,card,6.78
25,CD31E13A8,card,3.18
25,,cash,2.09
26,C0F8D1F36,card,4.72
26,,cash,2.42
26,,cash,1.04
26,CEA337023,card,2.46
27,,cash,1.29
28,,cash,21.43
28,CC4DAC510,card,10.09
29,,cash,1.19
29,,cash,11.05
30,C9F80560D,card,0.99
30,,cash,0.99
30,CDBEF25AB,card,7.76
30,C7A27AB7A,card,1.19
30,C185E30C9,card,5.79
30,,cash,1.79
30,C54CD3C57,card,9.39
31,CF3058226,card,7.38
31,C913C0BF5,card,7.37
32,,cash,8.79
32,,cash,3.09
32,,cash,0.99
32,C0A1AE2B1,card,18.53
32,CA8516800,card,16.78
32,,cash,6.99
33,,cash,3.38
33,,cash,3.18
33,C212F42CC,card,9.09
33,CBF67C89B,card,14.19
34,,cash,4.3
34,,cash,1.49
34,,cash,4.38
36,C3845A347,card,1.29
36,CD67C2916,card,1.09
37,C74B4AEE5,card,1.89
38,C12EB34B4,card,1.98
38,,cash,1.89
39,C4F5A03D2,card,1.49
39,CED9289A1,card,1.19
39,C8BC90F70,card,3.09
39,C2A0194CF,card,3.09
40,,cash,8.09
40,C666F606D,card,2.59
40,C04A7E63C,card,22.78
40,CA2DE6F8B,card,9.59
40,C4116F55A,card,8.76
42,CDF4D7B29,card,2.29
42,C7D85C0F8,card,16.18
43,,cash,10.98
43,CB9F4CC06,card,8.09
44,C582B55D5,card,1.19
44,,cash,2.09
44,C949A2173,card,10.68
45,,cash,8.09
45,CD1092C91,card,2.19
45,,cash,13.19
46,C0D78383F,card,8.88
46,CABB0818E,card,2.38
46,C49E7075D,card,2.19
46,CE81F8D2C,card,8.09
47,C865612FB,card,9.58
47,C248E984A,card,1.29
47,CC2C51E19,card,2.59
47,,cash,3.8
47,CFF34EDA7,card,1.29
48,,cash,2.58
48,C3BA3F8C5,card,14.49
49,CD9DA7E94,card,2.09
49,C7812C463,card,12.99
49,C16494A32,card,2.19
49,CB481D381,card,6.17
50,C52B85950,card,8.6
50,CF0F0DF2F,card,2.78
50,C8F2724FE,card,3.18
50,C2D5FAA4D,card,0.99
51,CCB96301C,card,3.09
51,C69CEB9EB,card,2.58
51,C08053FBA,card,4.18
51,CA63D8509,card,9.39
51,C44740AD8,card,2.59
52,CE2AC9097,card,1.59
52,C80E31666,card,2.19
52,,cash,1.29
52,,cash,1.99
53,C5B896B53,card,13.17
53,,cash,5.3
53,,cash,12.09
53,C3630FC40,card,0.99
53,CD467421F,card,2.38
53,,cash,3.69
54,C10D651BD,card,11.05
54,,cash,3.6
54,C4D455CDB,card,1.88
54,CEB7DA2AA,card,2.52
55,,cash,1.59
56,C27ECB1C8,card,1.79
57,CC6233787,card,10.48
57,C645BBD56,card,21.33
57,,cash,3.69
57,,cash,0.99
57,C3F010E43,card,11.78
58,CDD399412,card,9.39
59,,cash,3.58
59,,cash,10.38
59,CB7DFE90F,card,4.58
59,,cash,1.19
59,,cash,1.79
60,C92857A7C,card,9.39
61,C30BDC3CB,card,1.98
61,,cash,13.69
61,,cash,6.97
61,,cash,1.59
61,CA99BDAF7,card,1.98
61,C47D22046,card,2.55
61,,cash,4.38
61,C84412FE4,card,2.99
61,C2279B5B3,card,3.69
62,,cash,2.78
62,C5EE880D1,card,1.98
62,,cash,5.79
63,,cash,7.56
64,C398E15CE,card,7.79
64,CD7C69B9D,card,14.49
64,,cash,2.78
64,C1434673B,card,1.98
64,CB26CEC8A,card,4.3
64,,cash,3.78
64,,cash,0.99
65,C8D1241E7,card,3.38
65,,cash,1.79
65,CC9814D05,card,8.49
65,C67B9D2D4,card,2.38
65,,cash,5.19
65,CA428DE72,card,1.79
65,C425F27C1,card,3.79
65,CE097AD90,card,11.08
66,C7ECE336F,card,0.99
66,C1D06B93E,card,0.99
66,CBB3D3E8D,card,4.29
67,C5975845C,card,12.46
67,CF7AC0A2B,card,1.99
67,,cash,4.18
67,,cash,1.39
67,,cash,10.47
67,,cash,11.28
67,C0EC16AA6,card,3.38
67,CACF9F075,card,1.79
67,C4B3079C4,card,11.15
67,,cash,2.19
67,,cash,17.89
67,,cash,15.88
68,CC40E5080,card,8.37
68,C6246D65F,card,6.17
68,C007D5C2E,card,9.44
68,C9EB5A5FD,card,1.99
68,,cash,1.98
69,CDB24B11B,card,2.09
69,,cash,3.79
70,,cash,1.98
70,CB5CA0208,card,4.57
70,C54028BC7,card,4.17
71,CF2391196,card,17.28
71,C90719765,card,11.57
72,C2EA81D34,card,5.28
72,CCCDF6283,card,0.99
72,C6B17E852,card,4.29
72,C094E6E21,card,2.29
73,,cash,1.19
73,C45BD7D4F,card,1.59
73,,cash,6.44
73,,cash,3.69
73,C2064CEBC,card,4.29
73,CBE9B540B,card,6.18
74,,cash,2.78
74,,cash,1.59
74,C9942A978,card,13.2
74,C37792F37,card,1.39
74,CD5B1B486,card,3.54
74,C73E83A55,card,3.58
74,C12208024,card,5.3
74,,cash,11.65
74,,cash,7.57
74,CECC61511,card,2.59
74,C8AFE9AE0,card,2.19
75,,cash,3.58
75,,cash,8.09
75,,cash,2.65
75,,cash,11.58
75,CA213FB7B,card,9.39
75,,cash,17.17
75,,cash,7.56
76,,cash,1.98
76,C1AF1D227,card,16.1
76,CB9285BF6,card,3.18
77,,cash,8.58
78,CF5972714,card,2.38
78,C93CFACE3,card,13.0
