kind,table,key,date,delta,note
void_pair,receipts,3179,2025-03-09,1,mis-ring of SC-CHO-012 voided at the till
void_pair,receipts,4330,2025-04-04,2,mis-ring of PH-VIT-010 voided at the till
void_pair,receipts,3949,2025-03-25,1,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,4263,2025-04-02,2,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,10175,2025-07-31,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,1485,2025-02-01,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,13687,2025-10-14,1,mis-ring of PH-WEL-010 voided at the till
void_pair,receipts,14823,2025-11-09,2,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,6500,2025-05-20,1,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,16430,2025-12-14,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,8440,2025-06-27,2,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,6940,2025-05-28,2,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,430,2025-01-10,1,mis-ring of BB-BKG-008 voided at the till
void_pair,receipts,9106,2025-07-11,1,mis-ring of DE-MIL-008 voided at the till
void_pair,receipts,8184,2025-06-21,1,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,6674,2025-05-23,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,2771,2025-03-02,1,mis-ring of BB-FBR-009 voided at the till
void_pair,receipts,8605,2025-06-29,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,7297,2025-06-04,2,mis-ring of AB-SPI-004 voided at the till
void_pair,receipts,13497,2025-10-10,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,5322,2025-04-25,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,6323,2025-05-17,1,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,8801,2025-07-05,1,mis-ring of SC-SAV-003 voided at the till
void_pair,receipts,6378,2025-05-17,1,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,9076,2025-07-11,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,3050,2025-03-08,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,15531,2025-11-27,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,11418,2025-08-27,2,mis-ring of AB-SPI-004 voided at the till
void_pair,receipts,895,2025-01-19,1,mis-ring of DE-CRE-007 voided at the till
void_pair,receipts,4173,2025-03-30,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,14017,2025-10-22,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,16841,2025-12-24,2,mis-ring of BN-COF-009 voided at the till
void_pair,receipts,8048,2025-06-19,2,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,10483,2025-08-07,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,3180,2025-03-09,1,mis-ring of MP-PRM-006 voided at the till
void_pair,receipts,11260,2025-08-23,2,mis-ring of HC-PAP-011 voided at the till
void_pair,receipts,14890,2025-11-11,1,mis-ring of DE-CRE-009 voided at the till
void_pair,receipts,1008,2025-01-22,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,7154,2025-05-31,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,15372,2025-11-23,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,2596,2025-02-27,1,mis-ring of SC-CAN-012 voided at the till
void_pair,receipts,12142,2025-09-12,2,mis-ring of BN-COF-004 voided at the till
void_pair,receipts,12598,2025-09-20,1,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,7916,2025-06-15,2,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,1243,2025-01-26,2,mis-ring of DE-CRE-009 voided at the till
void_pair,receipts,1219,2025-01-26,2,mis-ring of FP-VEG-007 voided at the till
