t,M_Alcoholic Beverages,M_Bakery and Bread,M_Beverages (Non-Alcoholic),M_Dairy and Eggs,M_Fresh Produce,M_Frozen Foods,M_Household and Cleaning Supplies,M_Meat and Poultry,M_Pantry Staples and Packaged Goods,M_Personal Care and Health,M_Seafood,M_Snacks and Confectionery,traffic
1,0.9088208857171325,1.036865583402162,0.815593389261499,0.9974134520654998,0.901571057218682,0.9742887632517324,1.0,0.913207327452166,1.0796663099741624,1.0626019573788728,1.0184578035443723,1.0444889381486668,0.0
2,0.899984761093601,1.0403128162541164,0.7997361869833731,0.9974134520654998,0.8969255613025381,0.9681144514214707,1.0,0.9057457946679393,1.0868573060052635,1.069579149123368,1.0186008504686488,1.049652991633896,1.192978609961615
3,0.8844374648756235,1.0464345667422494,0.7722759635471099,0.9974134520654998,0.8889101153385288,0.9570728286199578,1.0,0.8926355634581973,1.099686227084061,1.0821089886541444,1.0187351817114154,1.0588851320549078,1.1391931141566638
4,0.9060393432937877,1.0381080514874017,0.8103948697465568,0.9974134520654998,0.8994784292597131,0.9727272459750044,1.0,0.9107174669661792,1.0822553720079031,1.0648692419019823,1.0188607540065406,1.0462289439388426,1.0902830884545627
5,0.8647824788300583,1.0544145866913426,0.7382154871881325,0.9974134520654998,0.8785593824754164,0.9430895511729765,1.0,0.8759810937087142,1.1165224039124548,1.0985018513501512,1.018977526894509,1.0709357309530156,1.2069278737515634
6,0.8588096858971971,1.056903085926856,0.728002027989305,0.9974134520654998,0.8753347020922373,0.9388525989296806,1.0,0.870895403182216,1.1217987797878028,1.103615134366281,1.0190854627383965,1.0746912581330783,1.0297971608176502
7,0.8745595966908937,1.050565423203865,0.7548999513433755,0.9974134520654998,0.8831530105788649,0.9503989966012747,1.0,0.8841466365770656,1.108385504173306,1.0903486196372951,1.0191845267387516,1.0650047628489245,1.4164043579554695
8,0.9068466312672379,1.0379872825659155,0.8116198392999476,0.9974134520654998,0.8991483180539651,0.9737443361371586,1.0,0.911229113122645,1.0820035770022338,1.064333240052016,1.019274686947363,1.0459047578808343,0.9789602998025405
9,0.8866976336318111,1.0458277923616175,0.7759129372426845,0.9974134520654998,0.8889615412798456,0.9593517416259407,1.0,0.8942939509099104,1.0984112921861064,1.0804155997099185,1.0193559142799131,1.0577494835666166,0.921008330171712
10,0.8675391795306483,1.053503574137702,0.7427104991620821,0.9974134520654998,0.879180747770368,0.9455571360003427,1.0,0.8781348894499037,1.1145938901677979,1.0962812579785761,1.019428182527505,1.0693904733648705,1.0932019537081887
11,0.8628767486731,1.0554267709318987,0.7347184201449691,0.9974134520654998,0.8767062120671336,0.9422312666114057,1.0,0.8741761924615448,1.11866704194685,1.1002419537179995,1.0194914683670568,1.072297918593086,1.1337361233697483
12,0.8621306951838351,1.0557561075600481,0.7334224429276484,0.9974134520654998,0.8762338118720919,0.9417437904154646,1.0,0.8735256232010928,1.1193652912665868,1.1008896247756423,1.0195457513705595,1.072780819629436,1.009083828633301
13,0.8769728273472208,1.0497869305721883,0.758870027908844,0.9974134520654998,0.883665627165943,0.9525684803787695,1.0,0.8860222010449813,1.1067434355767662,1.088443884921841,1.019591014013188,1.063679801019931,0.9243608961938082
14,0.9167360831816604,1.034400266224854,0.8292271066716558,0.9974134520654998,0.9034127065621742,0.9811878118531472,1.0,0.9193613381937619,1.0745382478501542,1.0567461650696681,1.019627241680264,1.040367942440433,0.7990778403468594
15,1.024061577561485,0.9969342586350196,1.034735298094411,0.9974134520654998,0.9547813195533635,1.0563783836309222,1.0,1.0082058494765431,0.9981083114737233,0.9815643028001924,1.0196544226730648,0.9843509108848489,0.845466300425803
16,0.9942196408226505,1.0068185208026874,0.975296466681092,0.9974134520654998,0.9407334931724884,1.0357754057757207,1.0,0.9836546979060029,1.0179982309620088,1.0011126757066338,1.0196725482134743,0.9990204712659397,0.9662698531726037
17,1.0473464787079116,0.989502507141514,1.0823062195802022,0.9974134520654998,0.9655236247220093,1.0723632192807535,1.0,1.0272614407517349,0.9832827703036476,0.9669673105580792,1.0196816124474746,0.9733558764500952,0.9821810905126408
18,1.0260674888150911,0.9962959897056421,1.0387744392993288,0.9974134520654998,0.9556649977378471,1.0577887486930417,1.0,1.0098393242592285,0.9968306794044964,0.9802904212873433,1.0196816124474746,0.9833970022959494,1.0371113379577441
19,0.9462491551874613,1.0235525403417556,0.8834520516110609,0.9974134520654998,0.9177580230315628,1.0021845552688264,1.0,0.9439419978214804,1.0521191183901286,1.0346675993516086,1.0196725482134743,1.0240302934976486,1.01430561827403
20,0.96912415556037,1.015427072687711,0.9266931608854398,0.9974134520654998,0.9288179219716494,1.0182515274792032,1.0,0.9629276743132109,1.0354809360055053,1.0183174624730016,1.0196544226730648,1.011866631086473,1.0231472255933387
21,1.0232309154585453,0.9971921425870303,1.0330756980931768,0.9974134520654998,0.9544448928191915,1.055775784042869,1.0,1.0075362396762972,0.9986247535658549,0.982089637838114,1.019627241680264,0.9847416291625348,0.8795902047619342
22,0.9218608004485279,1.0324636205466473,0.8385439358270913,0.9974134520654998,0.90599868571677,0.9848022096902983,1.0,0.9236567606300149,1.0705184271754227,1.0528178422382113,1.019591014013188,1.0374598697440747,0.9454563608129952
23,0.8694112357405821,1.0528008389048982,0.7458619914319456,0.9974134520654998,0.8799258530369944,0.9470382620117792,1.0,0.879668618516788,1.1131074155521232,1.0947350383319328,1.0195457513705595,1.0682795870161204,0.8204512017527752
24,0.8524441735613435,1.0597149124013665,0.7170596562377776,0.9974134520654998,0.8713902051342994,0.9346212082275961,1.0,0.8653596176071745,1.1277756748628558,1.1092005622220682,1.0194914683670568,1.0788395840097014,0.8573087230639874
25,0.8794102704227742,1.0487416950570703,0.7631755268742542,0.9974134520654998,0.8851755048701985,0.9541633562056768,1.0,0.8881369304026312,1.104540642580876,1.0863931839378136,1.019428182527505,1.062148139954803,0.9218741228972824
26,0.862092398251612,1.0556843662706445,0.733448332371357,0.9974134520654998,0.8765407393293771,0.9415210750932946,1.0,0.8735655824148428,1.119213169047676,1.1008766714636098,1.0193559142799131,1.072738058836538,0.7541807001747195
27,0.9006326031992464,1.040369054482842,0.8005349466026778,0.9974134520654998,0.896062384217914,0.9692909508154544,1.0,0.9060227519304599,1.0869748179323169,1.0692232950191667,1.019274686947363,1.0495067312908088,0.774536937196107
28,0.9559649948492004,1.0198561276359108,0.9019751183949227,0.9974134520654998,0.9233412622690257,1.0084964082032777,1.0,0.9522144824798502,1.0445336864317094,1.0275358698550712,1.0191845267387516,1.018650634413882,0.8503710226507531
29,0.9193542788448652,1.0331733056577717,0.834265961985774,0.9974134520654998,0.9056640523354019,0.9824747357903771,1.0,0.9217666082754866,1.071990618702929,1.0546143319241372,1.0190854627383965,1.0387014366455913,1.008417619127649
30,0.8691481500617103,1.0526462053025079,0.7456877499163946,0.9974134520654998,0.880774201239734,0.9462608785463977,1.0,0.8796647173166466,1.1127804569051931,1.0948202989686429,1.018977526894509,1.0682427268335102,1.144033646475403
31,0.834591071428087,1.066924447995797,0.6876224355831274,0.9974134520654998,0.8632847947468737,0.9208923509373271,1.0,0.8504639271109137,1.1431730173275674,1.1248082622735358,1.0188607540065406,1.0900926008039902,1.21023656724925
32,0.8692052167466238,1.05251189526651,0.7459039452338787,0.9974134520654998,0.8812222311417796,0.9460522337883116,1.0,0.8798058522925126,1.112496509558746,1.0947145132771203,1.0187351817114154,1.0681229678529789,0.981603184024296
