uid,price,date
AB-SPI-001,32.99,2025-01-01
AB-SPI-002,43.49,2025-01-01
AB-SPI-003,38.25,2025-01-01
AB-SPI-004,19.79,2025-01-01
AB-SPI-005,22.39,2025-01-01
AB-SPI-006,20.39,2025-01-01
AB-SPI-007,13.2,2025-01-01
AB-SPI-008,14.49,2025-01-01
AB-SPI-009,11.89,2025-01-01
AB-SPI-010,35.59,2025-01-01
AB-SPI-011,39.59,2025-01-01
AB-SPI-012,46.19,2025-01-01
AB-WIN-001,19.8,2025-01-01
AB-WIN-002,17.79,2025-01-01
AB-WIN-003,22.39,2025-01-01
AB-WIN-004,10.49,2025-01-01
AB-WIN-005,11.15,2025-01-01
AB-WIN-010,17.09,2025-01-01
AB-WIN-011,21.09,2025-01-01
AB-WIN-012,18.5,2025-01-01
BB-BKG-007,1.59,2025-01-01
BB-BKG-008,1.69,2025-01-01
BB-BKG-009,1.49,2025-01-01
BB-FBR-009,1.59,2025-01-01
BB-PAS-007,1.69,2025-01-01
BB-PAS-008,1.79,2025-01-01
BN-BTW-003,2.59,2025-01-01
BN-BTW-009,0.99,2025-01-01
BN-COF-004,5.79,2025-01-01
BN-COF-009,2.55,2025-01-01
BN-JUI-002,5.59,2025-01-01
BN-JUI-006,3.79,2025-01-01
DE-CRE-007,1.59,2025-01-01
DE-CRE-009,1.49,2025-01-01
DE-MIL-007,1.19,2025-01-01
DE-MIL-008,1.1,2025-01-01
DE-MIL-009,0.99,2025-01-01
DE-YOG-008,1.49,2025-01-01
FF-DES-009,2.29,2025-01-01
FF-FVG-007,1.69,2025-01-01
FF-FVG-008,1.79,2025-01-01
FF-FVG-009,1.9,2025-01-01
FF-ICE-008,2.29,2025-01-01
FF-ICE-009,2.19,2025-01-01
FP-FRU-005,2.09,2025-01-01
FP-HER-007,1.79,2025-01-01
FP-HER-008,2.09,2025-01-01
FP-HER-009,1.69,2025-01-01
FP-VEG-007,2.09,2025-01-01
FP-VEG-008,1.99,2025-01-01
HC-CAG-001,10.09,2025-01-01
HC-CAG-002,10.89,2025-01-01
HC-CAG-003,13.0,2025-01-01
HC-CAG-010,14.45,2025-01-01
HC-CAG-011,11.59,2025-01-01
HC-CAG-012,12.29,2025-01-01
HC-DET-001,14.49,2025-01-01
HC-DET-003,10.09,2025-01-01
HC-DET-005,9.39,2025-01-01
HC-DET-010,11.59,2025-01-01
HC-DET-011,17.39,2025-01-01
HC-DET-012,12.29,2025-01-01
HC-KIT-003,14.49,2025-01-01
HC-KIT-010,11.59,2025-01-01
HC-KIT-011,12.29,2025-01-01
HC-KIT-012,10.09,2025-01-01
HC-PAP-001,12.99,2025-01-01
HC-PAP-010,14.49,2025-01-01
HC-PAP-011,10.89,2025-01-01
HC-PAP-012,10.09,2025-01-01
MP-CHI-007,4.3,2025-01-01
MP-POR-007,3.69,2025-01-01
MP-PRM-006,4.29,2025-01-01
MP-PRM-007,3.09,2025-01-01
MP-PRM-008,3.69,2025-01-01
MP-PRM-009,2.65,2025-01-01
PH-HYG-001,11.29,2025-01-01
PH-HYG-003,12.09,2025-01-01
PH-HYG-012,12.79,2025-01-01
PH-OTC-002,12.09,2025-01-01
PH-OTC-010,14.19,2025-01-01
PH-OTC-012,12.79,2025-01-01
PH-TOI-002,12.09,2025-01-01
PH-TOI-003,14.19,2025-01-01
PH-TOI-012,12.79,2025-01-01
PH-VIT-001,18.39,2025-01-01
PH-VIT-002,14.15,2025-01-01
PH-VIT-003,12.05,2025-01-01
PH-VIT-010,19.89,2025-01-01
PH-VIT-011,16.29,2025-01-01
PH-VIT-012,15.59,2025-01-01
PH-WEL-002,16.29,2025-01-01
PH-WEL-003,14.15,2025-01-01
PH-WEL-010,18.39,2025-01-01
PH-WEL-011,15.59,2025-01-01
PH-WEL-012,21.29,2025-01-01
PP-CNG-004,2.29,2025-01-01
PP-CNG-005,1.89,2025-01-01
PP-CNG-006,2.19,2025-01-01
PP-CNG-007,1.29,2025-01-01
PP-OIL-005,5.19,2025-01-01
PP-PAS-011,5.79,2025-01-01
SC-CAN-002,9.39,2025-01-01
SC-CAN-010,8.79,2025-01-01
SC-CAN-011,8.09,2025-01-01
SC-CAN-012,8.49,2025-01-01
SC-CHO-002,9.39,2025-01-01
SC-CHO-003,7.79,2025-01-01
SC-CHO-010,8.79,2025-01-01
SC-CHO-011,10.09,2025-01-01
SC-CHO-012,8.09,2025-01-01
SC-COO-002,8.09,2025-01-01
SC-COO-003,7.79,2025-01-01
SC-COO-010,8.79,2025-01-01
SC-COO-011,8.45,2025-01-01
SC-COO-012,8.09,2025-01-01
SC-NUT-002,8.45,2025-01-01
SC-NUT-003,8.09,2025-01-01
SC-NUT-010,9.39,2025-01-01
SC-NUT-011,7.79,2025-01-01
SC-SAV-003,7.79,2025-01-01
SC-SAV-010,8.05,2025-01-01
SF-FFF-009,3.69,2025-01-01
SF-SHL-009,4.09,2025-01-01
SF-SPR-004,3.09,2025-01-01
SF-SPR-007,3.69,2025-01-01
SF-SPR-008,1.79,2025-01-01
SF-SPR-009,2.69,2025-01-01
FP-FRU-005,2.1900000000000004,2025-01-08
FP-HER-008,2.1900000000000004,2025-01-08
BB-FBR-009,1.49,2025-01-15
BN-COF-009,2.45,2025-01-15
FP-VEG-007,2.1900000000000004,2025-01-15
FP-VEG-008,2.0900000000000003,2025-01-15
BN-COF-009,2.5500000000000003,2025-01-22
FP-HER-008,2.0900000000000003,2025-01-22
FP-VEG-007,2.0900000000000003,2025-01-22
PP-CNG-005,1.99,2025-01-22
BB-FBR-009,1.59,2025-01-29
DE-CRE-007,1.49,2025-01-29
DE-CRE-009,1.39,2025-01-29
FP-VEG-007,2.1900000000000004,2025-01-29
FP-VEG-008,1.99,2025-01-29
PP-CNG-005,1.89,2025-01-29
PH-OTC-012,12.39,2025-01-29
SF-SPR-004,3.1900000000000004,2025-01-29
SC-NUT-003,8.39,2025-01-29
BB-PAS-008,1.89,2025-02-05
DE-CRE-009,1.49,2025-02-05
DE-MIL-009,1.09,2025-02-05
PP-CNG-005,1.99,2025-02-05
SF-SPR-009,2.5900000000000003,2025-02-05
BB-PAS-008,1.79,2025-02-12
DE-CRE-007,1.59,2025-02-12
DE-CRE-009,1.39,2025-02-12
DE-MIL-009,0.99,2025-02-12
PP-CNG-005,1.89,2025-02-12
SF-SPR-004,3.0900000000000003,2025-02-12
SF-SPR-009,2.6900000000000004,2025-02-12
BB-BKG-009,1.39,2025-02-19
DE-CRE-009,1.49,2025-02-19
