kind,table,key,date,delta,note
void_pair,receipts,3176,2025-03-09,1,mis-ring of SC-CHO-012 voided at the till
void_pair,receipts,4326,2025-04-04,2,mis-ring of PH-VIT-010 voided at the till
void_pair,receipts,3945,2025-03-25,1,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,4259,2025-04-02,2,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,10165,2025-07-31,2,mis-ring of AB-SPI-004 voided at the till
void_pair,receipts,1484,2025-02-01,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,13674,2025-10-15,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,14809,2025-11-10,2,mis-ring of SC-SAV-003 voided at the till
void_pair,receipts,6493,2025-05-19,1,mis-ring of MP-CHI-007 voided at the till
void_pair,receipts,16415,2025-12-14,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,8432,2025-06-27,2,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,6933,2025-05-28,2,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,430,2025-01-10,1,mis-ring of BB-BKG-008 voided at the till
void_pair,receipts,9097,2025-07-11,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,8176,2025-06-21,1,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,6668,2025-05-23,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,2769,2025-03-01,1,mis-ring of MP-CHI-007 voided at the till
void_pair,receipts,8597,2025-06-29,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,7291,2025-06-04,2,mis-ring of AB-SPI-004 voided at the till
void_pair,receipts,13484,2025-10-11,1,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,5318,2025-04-25,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,6317,2025-05-17,1,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,8793,2025-07-05,1,mis-ring of SC-SAV-003 voided at the till
void_pair,receipts,6372,2025-05-17,1,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,9067,2025-07-11,1,mis-ring of SC-CHO-012 voided at the till
void_pair,receipts,3047,2025-03-08,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,15516,2025-11-28,1,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,11408,2025-08-27,2,mis-ring of PP-PAS-011 voided at the till
void_pair,receipts,894,2025-01-19,1,mis-ring of DE-CRE-007 voided at the till
void_pair,receipts,4169,2025-03-30,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,14004,2025-10-23,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,16825,2025-12-24,2,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,8041,2025-06-19,2,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,10473,2025-08-07,2,mis-ring of HC-KIT-012 voided at the till
void_pair,receipts,3177,2025-03-09,1,mis-ring of MP-PRM-006 voided at the till
void_pair,receipts,11249,2025-08-23,2,mis-ring of BB-PAS-007 voided at the till
void_pair,receipts,14876,2025-11-12,1,mis-ring of FP-VEG-008 voided at the till
void_pair,receipts,1007,2025-01-22,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,7147,2025-05-31,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,15358,2025-11-23,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,2594,2025-02-27,1,mis-ring of SC-CAN-012 voided at the till
void_pair,receipts,12130,2025-09-12,2,mis-ring of BN-COF-004 voided at the till
void_pair,receipts,12586,2025-09-21,1,mis-ring of BB-PAS-007 voided at the till
void_pair,receipts,7909,2025-06-15,2,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,1242,2025-01-26,2,mis-ring of DE-CRE-009 voided at the till
void_pair,receipts,1218,2025-01-26,2,mis-ring of FP-VEG-007 voided at the till
void_pair,receipts,15885,2025-12-05,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,11757,2025-09-04,1,mis-ring of FF-FVG-007 voided at the till
void_pair,receipts,6824,2025-05-25,2,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,13869,2025-10-19,2,mis-ring of MP-CHI-007 voided at the till
void_pair,receipts,1925,2025-02-12,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,698,2025-01-15,2,mis-ring of SF-SPR-007 voided at the till
void_pair,receipts,5852,2025-05-05,2,mis-ring of FF-ICE-009 voided at the till
void_pair,receipts,10695,2025-08-12,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,10169,2025-07-31,2,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,4540,2025-04-08,1,mis-ring of SC-COO-003 voided at the till
void_pair,receipts,3315,2025-03-13,1,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,13755,2025-10-17,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,12953,2025-09-29,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,3651,2025-03-20,2,mis-ring of BB-FBR-009 voided at the till
