month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash
1,60569.50000000011,41654.77854562873,1160.6613714012246,0.0,0.0,2236.7442129642586,141.41995669064346,400.0,2502.373965950601,0.0,0.0,15794.183290511915
2,51576.97000000006,37559.40931063787,1160.6613714012246,0.0,0.0,2024.163332610759,146.12933106556045,400.0,1777.0759726032916,0.0,0.0,24303.713972194106
3,64924.26000000001,57875.57018892203,1160.6613714012246,0.0,0.0,2245.8013989640685,100.43722923144865,80.0,930.9112004448771,0.0,0.0,26834.59258323088
4,61195.08000000006,47652.18860929288,1160.6613714012246,0.0,0.0,2177.826584236792,185.1555897820576,0.0,1587.443745591041,0.0,0.0,35266.39668292596
5,66762.32999999981,48083.542812627056,1160.6613714012246,0.0,0.0,2255.2041708941492,105.08119792696753,0.0,2092.798230280059,0.0,0.0,48331.43889979547
6,63373.64999999969,62641.05166276482,1160.6613714012246,0.0,0.0,2186.944757680039,87.07280053726082,0.0,665.3282339773386,0.0,0.0,44964.03007343324
7,65009.41999999943,51685.97310299258,1160.6613714012246,0.0,0.0,2264.6463105617377,172.75030503415834,0.0,1172.228619531249,0.0,0.0,53517.19036391065
8,64613.75999999914,46500.3919851008,1160.6613714012246,0.0,0.0,2269.459914677341,92.03920765080329,0.0,1501.5149244003524,0.0,0.0,66606.88296067802
9,59054.86999999995,58905.69783530891,1160.6613714012246,0.0,0.0,2200.7690156057065,74.70388158528259,0.0,272.5591289651593,0.0,0.0,63047.36172780979
10,60230.060000000056,47189.36006954543,1160.6613714012246,0.0,0.0,3054.8024110674046,153.64613025432595,0.0,1155.701448097398,0.0,0.0,70563.25029744043
11,60751.95,44125.20071075889,1160.6613714012246,0.0,0.0,2726.244415843293,82.4855783365233,0.0,1301.47611682458,0.0,0.0,81919.13210427412
12,59143.739999999496,58755.43290352444,1160.6613714012246,0.0,0.0,2655.5837279868906,192.49266072725626,0.0,202.45216243139157,0.0,0.0,78096.24927820002
