t,token,payment,value
2,,cash,5.38
2,C3C6E6D55,card,8.09
2,CDAA6F324,card,8.09
2,C78DD78F3,card,20.39
2,,cash,11.15
2,CB54C4411,card,1.19
3,C5384CDE0,card,12.79
3,CF1BB53BF,card,3.38
3,C8FF3D90E,card,5.79
3,,cash,3.98
4,CCC62A4AC,card,19.79
4,C6A992A7B,card,1.98
4,C08D1B3CA,card,12.79
5,CA7083999,card,5.79
5,,cash,1.69
5,CE3770527,card,8.09
6,,cash,11.15
6,C1FE61045,card,5.18
7,,cash,11.58
8,,cash,4.38
9,,cash,7.58
9,C98C4EB01,card,11.59
9,C36FB70D0,card,3.58
9,,cash,5.27
10,,cash,11.59
10,C11A2C5CD,card,9.88
10,CAFD94B9C,card,9.57
11,C4E11D16B,card,1.9
11,CEC48573A,card,7.79
11,C8A80DC89,card,3.79
11,,cash,2.55
11,,cash,2.29
11,,cash,8.79
11,C035EB7B5,card,5.57
11,CA1953D04,card,16.29
12,C3FCD82D3,card,13.0
12,CDE0408A2,card,1.29
12,,cash,8.09
12,C1A7317C0,card,0.99
12,,cash,8.79
13,,cash,16.17
13,,cash,11.15
13,C9351EE8C,card,7.89
14,C3188745B,card,2.29
15,,cash,7.17
15,C6DF743F9,card,4.38
15,C0C2FC948,card,9.08
16,,cash,5.3
16,,cash,2.58
17,CE6D55AA5,card,25.58
18,,cash,23.08
18,C234429C3,card,3.58
18,CC17CAF92,card,2.29
18,C5FB33561,card,1.9
18,,cash,3.38
19,C9C22008F,card,8.38
19,C3A5A865E,card,3.18
19,,cash,3.18
19,C76C995FC,card,9.39
20,,cash,4.38
20,,cash,11.15
20,,cash,2.58
20,CEFA66CB8,card,7.15
20,C8DDEF277,card,2.19
20,C2C157BC6,card,1.79
21,CCA4DC195,card,0.99
22,,cash,5.56
22,C06BCCD33,card,2.09
22,CA4F35282,card,11.27
23,,cash,7.66
23,CE1625E20,card,5.1
23,C7F9AA7FF,card,1.19
23,,cash,3.09
23,CBC09B31D,card,0.99
24,C5A4038EC,card,1.98
24,CF878BEBB,card,5.57
24,C96AF040A,card,0.99
24,C34E78DD9,card,7.79
25,CD31E13A8,card,8.49
25,,cash,9.08
25,C0F8D1F36,card,0.99
25,CADC46485,card,1.79
25,C4BFCEA54,card,7.58
25,CEA337023,card,6.78
25,C886BF9F2,card,3.18
25,,cash,2.09
25,CC4DAC510,card,5.3
26,C63114AEF,card,4.72
26,,cash,2.42
26,,cash,1.04
26,C3DB8DFDC,card,2.46
27,,cash,1.29
28,,cash,21.43
28,C185E30C9,card,10.09
29,,cash,1.19
29,,cash,11.05
30,CF3058226,card,0.99
30,,cash,0.99
30,C2F749144,card,7.76
30,CCDAB1713,card,1.19
30,C6BE39CE2,card,5.79
30,,cash,1.79
30,CA8516800,card,9.39
31,C4689F1DF,card,7.38
31,CE4C077AE,card,7.37
31,C82F8FD7D,card,1.98
31,,cash,5.38
32,,cash,8.79
32,,cash,3.09
32,,cash,0.99
32,C9A0D5D88,card,18.53
32,C3845A347,card,16.18
32,,cash,7.79
32,C74B4AEE5,card,0.99
33,,cash,3.38
33,,cash,3.18
33,C4F5A03D2,card,8.09
33,CED9289A1,card,14.19
34,,cash,4.3
34,,cash,1.49
34,,cash,4.38
35,C666F606D,card,4.29
36,C04A7E63C,card,1.29
36,CA2DE6F8B,card,1.09
37,C4116F55A,card,1.89
38,CDF4D7B29,card,1.98
38,,cash,1.89
39,C1BBC46B7,card,1.49
39,CB9F4CC06,card,1.19
39,C582B55D5,card,3.09
39,CF663DBA4,card,3.09
39,,cash,4.37
40,,cash,8.09
40,CD1092C91,card,2.59
40,C6F41B260,card,17.08
40,C0D78383F,card,9.59
40,CABB0818E,card,8.76
41,,cash,9.39
42,CE81F8D2C,card,2.29
42,C865612FB,card,16.18
43,,cash,10.98
43,CC2C51E19,card,8.09
44,C60FC67E8,card,1.19
44,,cash,2.09
44,C9D6B7376,card,10.68
44,,cash,7.58
45,,cash,8.09
45,C7812C463,card,2.19
45,,cash,12.97
45,,cash,1.69
46,C52B85950,card,8.88
46,CF0F0DF2F,card,2.38
46,C8F2724FE,card,2.19
46,C2D5FAA4D,card,8.09
47,CCB96301C,card,9.58
47,C69CEB9EB,card,1.29
47,C08053FBA,card,2.59
47,,cash,3.8
47,C44740AD8,card,1.29
48,,cash,2.58
48,C80E31666,card,11.59
49,C1F1B9C35,card,2.09
49,CBD52E584,card,22.18
49,C5B896B53,card,2.19
49,CF9C1F122,card,6.17
50,C97F876F1,card,8.6
50,C3630FC40,card,2.78
50,CD467421F,card,3.18
50,C729FCBEE,card,0.99
50,C10D651BD,card,11.15
50,CAF0ED70C,card,22.48
51,C4D455CDB,card,3.09
51,CEB7DA2AA,card,2.58
51,C89B42879,card,4.18
51,C27ECB1C8,card,9.39
51,CC6233787,card,2.59
52,C645BBD56,card,1.59
52,C02920325,card,2.19
52,,cash,1.29
52,,cash,1.99
53,CDD399412,card,13.17
53,,cash,5.3
53,,cash,12.09
53,CB7DFE90F,card,0.99
53,C56166EDE,card,2.38
53,,cash,3.69
54,C92857A7C,card,11.05
54,,cash,3.6
54,CCEF4499A,card,1.88
54,C6D2CCF69,card,2.52
55,,cash,1.59
56,CA99BDAF7,card,1.79
57,C47D22046,card,0.99
57,CE60AA615,card,21.33
57,,cash,3.69
57,,cash,0.99
57,CC0B03B02,card,11.78
58,C5EE880D1,card,9.39
59,,cash,3.58
59,,cash,10.38
59,C398E15CE,card,4.58
59,,cash,1.19
59,,cash,1.79
60,C1434673B,card,9.39
60,,cash,5.79
61,C50A37259,card,1.98
61,CEEDBF828,card,12.29
61,C8D1241E7,card,11.15
61,,cash,10.64
61,,cash,3.69
61,C67B9D2D4,card,1.98
61,C05F058A3,card,2.55
61,,cash,4.38
61,C425F27C1,card,4.29
61,CE097AD90,card,3.69
62,,cash,2.78
62,C1D06B93E,card,1.98
62,,cash,5.79
63,,cash,7.56
63,,cash,12.77
64,C95E493FA,card,7.79
64,C341B1949,card,14.49
64,,cash,2.78
64,C708AE4D7,card,1.98
64,C0EC16AA6,card,4.3
64,,cash,3.78
64,,cash,0.99
65,CE968FF93,card,3.38
65,,cash,1.79
65,C25D7CB31,card,8.49
65,CC40E5080,card,2.38
65,,cash,5.19
65,C007D5C2E,card,1.79
65,C9EB5A5FD,card,3.79
65,C3CEC2B4C,card,11.08
66,CDB24B11B,card,0.99
66,C795B36EA,card,0.99
66,C1793BCB9,card,4.29
67,CB5CA0208,card,12.46
67,C54028BC7,card,1.99
67,,cash,4.18
67,,cash,1.39
67,,cash,10.47
67,,cash,1.79
67,C6B17E852,card,3.38
67,C094E6E21,card,1.79
67,CA786F7F0,card,1.49
67,,cash,2.19
67,,cash,11.15
67,,cash,15.88
68,C2064CEBC,card,3.09
68,CBE9B540B,card,9.08
68,C5CD3DDDA,card,1.99
68,,cash,1.98
69,C9942A978,card,2.09
69,,cash,3.79
69,CD5B1B486,card,8.09
70,,cash,1.98
70,C12208024,card,4.57
70,CB05709F3,card,4.17
70,C4E8F8F42,card,1.59
71,CECC61511,card,17.28
71,C8AFE9AE0,card,11.57
72,C2935E0BF,card,5.28
72,CC76C660E,card,0.99
72,C65A4EFDD,card,4.29
72,C03DB75AC,card,2.29
73,,cash,1.19
73,C404A40CA,card,1.59
73,,cash,6.44
73,,cash,3.69
73,C1AF1D227,card,4.29
73,CB9285BF6,card,6.18
74,,cash,2.78
74,,cash,1.59
