kind,table,key,date,delta,note
void_pair,receipts,5509,2025-04-24,2,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,11080,2025-08-12,2,mis-ring of FP-HER-007 voided at the till
void_pair,receipts,6884,2025-05-22,2,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,13298,2025-09-27,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,7389,2025-05-31,2,mis-ring of PH-OTC-010 voided at the till
void_pair,receipts,4319,2025-03-29,1,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,4270,2025-03-29,2,mis-ring of FP-VEG-007 voided at the till
void_pair,receipts,7717,2025-06-07,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,4412,2025-04-01,2,mis-ring of PH-WEL-012 voided at the till
void_pair,receipts,6544,2025-05-16,1,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,10749,2025-08-04,1,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,445,2025-01-10,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,10268,2025-07-26,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,8309,2025-06-18,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,15908,2025-11-23,2,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,6062,2025-05-04,2,mis-ring of PH-WEL-012 voided at the till
void_pair,receipts,15343,2025-11-10,1,mis-ring of PH-OTC-002 voided at the till
void_pair,receipts,2687,2025-02-26,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,348,2025-01-08,1,mis-ring of PP-PAS-011 voided at the till
void_pair,receipts,1234,2025-01-25,1,mis-ring of SF-SHL-009 voided at the till
void_pair,receipts,16455,2025-12-05,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,12987,2025-09-20,1,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,4326,2025-03-29,1,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,10612,2025-08-02,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,9109,2025-07-05,2,mis-ring of AB-SPI-004 voided at the till
void_pair,receipts,15409,2025-11-12,1,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,11118,2025-08-13,2,mis-ring of PH-VIT-003 voided at the till
void_pair,receipts,1377,2025-01-29,1,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,10531,2025-08-01,2,mis-ring of FF-ICE-009 voided at the till
void_pair,receipts,15507,2025-11-14,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,141,2025-01-04,2,mis-ring of PH-TOI-012 voided at the till
void_pair,receipts,7677,2025-06-06,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,8947,2025-06-30,2,mis-ring of FF-FVG-007 voided at the till
void_pair,receipts,3291,2025-03-09,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,4704,2025-04-07,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,1286,2025-01-26,1,mis-ring of PH-VIT-011 voided at the till
void_pair,receipts,8470,2025-06-21,2,mis-ring of FP-VEG-008 voided at the till
void_pair,receipts,1262,2025-01-25,1,mis-ring of FP-VEG-007 voided at the till
void_pair,receipts,14943,2025-11-01,2,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,3434,2025-03-12,1,mis-ring of SF-SPR-004 voided at the till
