week,category,forecast_weekly,oracle
1,Alcoholic Beverages,142.20583612387588,0
1,Bakery and Bread,310.3334927824417,0
1,Beverages (Non-Alcoholic),484.987170098355,0
1,Dairy and Eggs,561.2584691443765,0
1,Fresh Produce,667.1230620380153,0
1,Frozen Foods,131.58602932516106,0
1,Household and Cleaning Supplies,101.29219464119512,0
1,Meat and Poultry,171.65306760826834,0
1,Pantry Staples and Packaged Goods,572.212878884015,0
1,Personal Care and Health,81.9922281910469,0
1,Seafood,62.14593685984356,0
1,Snacks and Confectionery,224.93282890236034,0
2,Alcoholic Beverages,131.80389074925057,0
2,Bakery and Bread,411.9723285216278,0
2,Beverages (Non-Alcoholic),447.40811339890337,0
2,Dairy and Eggs,722.3389794295842,0
2,Fresh Produce,664.9987080253436,0
2,Frozen Foods,171.72401955010739,0
2,Household and Cleaning Supplies,101.44479642746342,0
2,Meat and Poultry,194.1020450721789,0
2,Pantry Staples and Packaged Goods,633.9752525893433,0
2,Personal Care and Health,91.91148546069793,0
2,Seafood,83.51395790656238,0
2,Snacks and Confectionery,199.78855260157354,0
3,Alcoholic Beverages,104.65194537462529,0
3,Bakery and Bread,531.8611642608139,0
3,Beverages (Non-Alcoholic),444.0790566994517,0
3,Dairy and Eggs,942.9194897147921,0
3,Fresh Produce,687.6243540126718,0
3,Frozen Foods,232.3620097750537,0
3,Household and Cleaning Supplies,90.34739821373171,0
3,Meat and Poultry,233.05102253608945,0
3,Pantry Staples and Packaged Goods,707.4876262946716,0
3,Personal Care and Health,90.83074273034896,0
3,Seafood,111.13197895328119,0
3,Snacks and Confectionery,179.89427630078677,0
4,Alcoholic Beverages,81.0,0
4,Bakery and Bread,658.25,0
4,Beverages (Non-Alcoholic),405.75,0
4,Dairy and Eggs,1100.5,0
4,Fresh Produce,680.25,0
4,Frozen Foods,291.75,0
4,Household and Cleaning Supplies,77.75,0
4,Meat and Poultry,270.25,0
4,Pantry Staples and Packaged Goods,766.25,0
4,Personal Care and Health,87.75,0
4,Seafood,136.75,0
4,Snacks and Confectionery,157.25,0
5,Alcoholic Beverages,62.25,0
5,Bakery and Bread,799.75,0
5,Beverages (Non-Alcoholic),441.0,0
5,Dairy and Eggs,1319.5,0
5,Fresh Produce,730.75,0
5,Frozen Foods,359.25,0
5,Household and Cleaning Supplies,55.5,0
5,Meat and Poultry,294.0,0
5,Pantry Staples and Packaged Goods,877.75,0
5,Personal Care and Health,74.75,0
5,Seafood,169.75,0
5,Snacks and Confectionery,161.5,0
6,Alcoholic Beverages,47.5,0
6,Bakery and Bread,782.0,0
6,Beverages (Non-Alcoholic),413.75,0
6,Dairy and Eggs,1286.25,0
6,Fresh Produce,677.75,0
6,Frozen Foods,373.0,0
6,Household and Cleaning Supplies,42.5,0
6,Meat and Poultry,298.5,0
6,Pantry Staples and Packaged Goods,825.0,0
6,Personal Care and Health,64.5,0
6,Seafood,176.25,0
6,Snacks and Confectionery,155.5,0
7,Alcoholic Beverages,50.75,0
7,Bakery and Bread,801.75,0
7,Beverages (Non-Alcoholic),400.0,0
7,Dairy and Eggs,1311.75,0
7,Fresh Produce,671.75,0
7,Frozen Foods,390.75,0
7,Household and Cleaning Supplies,45.25,0
7,Meat and Poultry,303.75,0
7,Pantry Staples and Packaged Goods,787.25,0
7,Personal Care and Health,60.25,0
7,Seafood,177.5,0
7,Snacks and Confectionery,149.5,0
8,Alcoholic Beverages,51.5,0
8,Bakery and Bread,818.5,0
8,Beverages (Non-Alcoholic),397.25,0
8,Dairy and Eggs,1400.75,0
8,Fresh Produce,693.25,0
8,Frozen Foods,421.0,0
8,Household and Cleaning Supplies,46.5,0
8,Meat and Poultry,318.25,0
8,Pantry Staples and Packaged Goods,787.25,0
8,Personal Care and Health,65.75,0
8,Seafood,187.75,0
8,Snacks and Confectionery,147.25,0
9,Alcoholic Beverages,57.5,0
9,Bakery and Bread,814.0,0
9,Beverages (Non-Alcoholic),406.0,0
9,Dairy and Eggs,1460.0,0
9,Fresh Produce,709.25,0
9,Frozen Foods,445.25,0
9,Household and Cleaning Supplies,46.75,0
9,Meat and Poultry,337.25,0
9,Pantry Staples and Packaged Goods,787.25,0
9,Personal Care and Health,67.0,0
9,Seafood,193.75,0
9,Snacks and Confectionery,148.0,0
10,Alcoholic Beverages,67.5,0
10,Bakery and Bread,882.75,0
10,Beverages (Non-Alcoholic),448.5,0
10,Dairy and Eggs,1625.0,0
10,Fresh Produce,775.5,0
10,Frozen Foods,500.5,0
10,Household and Cleaning Supplies,52.0,0
10,Meat and Poultry,365.5,0
10,Pantry Staples and Packaged Goods,851.25,0
10,Personal Care and Health,69.75,0
10,Seafood,210.25,0
10,Snacks and Confectionery,160.0,0
11,Alcoholic Beverages,68.5,0
11,Bakery and Bread,888.5,0
11,Beverages (Non-Alcoholic),442.25,0
11,Dairy and Eggs,1657.25,0
11,Fresh Produce,774.75,0
11,Frozen Foods,519.25,0
11,Household and Cleaning Supplies,49.25,0
11,Meat and Poultry,369.5,0
11,Pantry Staples and Packaged Goods,848.75,0
11,Personal Care and Health,72.75,0
11,Seafood,216.75,0
11,Snacks and Confectionery,160.75,0
12,Alcoholic Beverages,68.75,0
12,Bakery and Bread,878.5,0
12,Beverages (Non-Alcoholic),486.5,0
12,Dairy and Eggs,1698.75,0
12,Fresh Produce,805.0,0
12,Frozen Foods,550.5,0
12,Household and Cleaning Supplies,49.25,0
12,Meat and Poultry,397.0,0
12,Pantry Staples and Packaged Goods,826.5,0
12,Personal Care and Health,71.5,0
12,Seafood,223.0,0
12,Snacks and Confectionery,162.25,0
13,Alcoholic Beverages,65.75,0
13,Bakery and Bread,834.75,0
13,Beverages (Non-Alcoholic),465.0,0
13,Dairy and Eggs,1617.25,0
13,Fresh Produce,772.5,0
13,Frozen Foods,545.5,0
13,Household and Cleaning Supplies,46.75,0
13,Meat and Poultry,382.0,0
13,Pantry Staples and Packaged Goods,771.25,0
13,Personal Care and Health,61.75,0
13,Seafood,211.0,0
13,Snacks and Confectionery,153.0,0
14,Alcoholic Beverages,56.0,0
14,Bakery and Bread,807.25,0
14,Beverages (Non-Alcoholic),440.0,0
14,Dairy and Eggs,1552.25,0
14,Fresh Produce,762.25,0
14,Frozen Foods,536.25,0
