month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash
1,61643.27000000016,42471.15720731955,1160.6613714012246,6510.0,1627.5,2795.9302662053233,140.23744854938099,320.0,2529.7679596083844,0.0,0.0,7408.677090063586
2,52459.3200000001,38018.71195729762,1160.6613714012246,5880.0,1470.0,2530.2041657634486,144.2818804048443,400.0,1840.9093947573474,0.0,0.0,8423.228320439715
3,66137.46999999964,59114.05533504051,1160.6613714012246,6510.0,1627.5,2807.2517487050864,97.39855529557433,80.0,910.6884044740282,0.0,0.0,2253.142905524128
4,62241.47999999994,48336.81197769699,1160.6613714012246,6300.0,1575.0,2722.2832302959896,185.86136691583803,0.0,1644.6901631727815,0.0,0.0,2569.3147960420847
5,68420.20999999972,48878.68369768717,1160.6613714012246,6510.0,1627.5,2819.005213617687,106.09159406088068,0.0,2197.6569113246787,0.0,0.0,7689.926007951182
6,64038.3899999997,63999.356211913204,1160.6613714012246,6300.0,1575.0,2733.680947100049,81.50419120057553,0.0,154.67703172180154,0.0,4276.563745385314,0.0
7,67557.57999999965,53857.32772322326,1160.6613714012246,6770.400000000001,1692.6000000000001,2830.8078882021714,171.85743372891895,0.0,1571.5006834071437,28.51042496923543,4802.64927031667,0.0
8,67260.6200000001,48489.43212986016,1160.6613714012246,6770.400000000001,1692.6000000000001,2836.824893346676,93.15766907828764,0.0,2138.3488382126825,32.01766180211113,755.4718340178338,0.0
9,61271.879999999794,61283.941024892796,1160.6613714012246,6552.0,1638.0,2750.9612695071332,69.01856162830119,0.0,146.84454030004417,5.036478893452226,13090.05508064091,0.0
10,63285.709999999,49613.822983597885,1160.6613714012246,6770.400000000001,1692.6000000000001,3818.5030138342554,154.78969528545863,0.0,1597.0462534955568,87.26703387093941,14699.435432126089,0.0
11,63182.44999999942,46006.73883571373,1160.6613714012246,6552.0,1638.0,3407.805519804116,81.62614040793635,0.0,1869.4771136181562,97.99623621417392,12331.290649285429,0.0
12,61655.10999999994,61488.66020772143,1160.6613714012246,6770.400000000001,1692.6000000000001,3319.4796599836136,195.21999894785125,0.0,125.42828025916242,82.20860432856954,25510.838771927312,0.0
