uid,on_hand,date
AB-SPI-001,32,2025-01-01
AB-SPI-002,32,2025-01-01
AB-SPI-003,32,2025-01-01
AB-SPI-004,32,2025-01-01
AB-SPI-005,32,2025-01-01
AB-SPI-006,32,2025-01-01
AB-SPI-007,32,2025-01-01
AB-SPI-008,32,2025-01-01
AB-SPI-009,32,2025-01-01
AB-SPI-010,32,2025-01-01
AB-SPI-011,32,2025-01-01
AB-SPI-012,32,2025-01-01
AB-WIN-001,32,2025-01-01
AB-WIN-002,32,2025-01-01
AB-WIN-003,32,2025-01-01
AB-WIN-004,32,2025-01-01
AB-WIN-005,32,2025-01-01
AB-WIN-010,32,2025-01-01
AB-WIN-011,32,2025-01-01
AB-WIN-012,32,2025-01-01
BB-BKG-007,64,2025-01-01
BB-BKG-008,65,2025-01-01
BB-BKG-009,64,2025-01-01
BB-FBR-009,62,2025-01-01
BB-PAS-007,64,2025-01-01
BB-PAS-008,62,2025-01-01
BN-BTW-003,118,2025-01-01
BN-BTW-009,118,2025-01-01
BN-COF-004,118,2025-01-01
BN-COF-009,118,2025-01-01
BN-JUI-002,118,2025-01-01
BN-JUI-006,118,2025-01-01
DE-CRE-007,116,2025-01-01
DE-CRE-009,119,2025-01-01
DE-MIL-007,116,2025-01-01
DE-MIL-008,118,2025-01-01
DE-MIL-009,119,2025-01-01
DE-YOG-008,118,2025-01-01
FF-DES-009,26,2025-01-01
FF-FVG-007,26,2025-01-01
FF-FVG-008,26,2025-01-01
FF-FVG-009,26,2025-01-01
FF-ICE-008,26,2025-01-01
FF-ICE-009,26,2025-01-01
FP-FRU-005,148,2025-01-01
FP-HER-007,146,2025-01-01
FP-HER-008,147,2025-01-01
FP-HER-009,146,2025-01-01
FP-VEG-007,148,2025-01-01
FP-VEG-008,148,2025-01-01
HC-CAG-001,19,2025-01-01
HC-CAG-002,19,2025-01-01
HC-CAG-003,19,2025-01-01
HC-CAG-010,19,2025-01-01
HC-CAG-011,19,2025-01-01
HC-CAG-012,19,2025-01-01
HC-DET-001,19,2025-01-01
