t,hour,customer_id,category,uid,qty,cause
2,5,2,Household and Cleaning Supplies,,1,closed
2,5,2,Snacks and Confectionery,,2,closed
2,5,2,Pantry Staples and Packaged Goods,,8,closed
2,5,2,Meat and Poultry,,5,closed
2,5,2,Bakery and Bread,,7,closed
2,5,2,Beverages (Non-Alcoholic),,9,closed
2,5,2,Seafood,,2,closed
2,5,2,Dairy and Eggs,,11,closed
2,5,2,Fresh Produce,,5,closed
2,5,2,Frozen Foods,,1,closed
2,5,2,Personal Care and Health,,1,closed
2,5,2,Alcoholic Beverages,,1,closed
2,7,197,Pantry Staples and Packaged Goods,,12,closed
2,7,197,Alcoholic Beverages,,1,closed
2,7,221,Household and Cleaning Supplies,,1,closed
2,7,221,Snacks and Confectionery,,1,closed
2,7,221,Pantry Staples and Packaged Goods,,3,closed
2,7,221,Frozen Foods,,4,closed
2,7,221,Dairy and Eggs,,9,closed
2,8,5,Snacks and Confectionery,,2,outside
2,8,5,Seafood,SF-SHL-009,1,budget
2,8,195,Personal Care and Health,,1,outside
2,8,195,Seafood,,1,outside
2,8,195,Alcoholic Beverages,AB-WIN-011,1,budget
2,8,195,Fresh Produce,,3,budget
2,8,195,Bakery and Bread,,2,budget
2,8,195,Snacks and Confectionery,,1,budget
2,8,195,Beverages (Non-Alcoholic),,2,budget
2,9,18,Bakery and Bread,,2,outside
2,9,18,Frozen Foods,,1,outside
2,9,175,Pantry Staples and Packaged Goods,,5,outside
2,9,175,Beverages (Non-Alcoholic),,2,outside
2,9,176,Frozen Foods,,1,outside
2,10,123,Meat and Poultry,,1,outside
2,10,123,Fresh Produce,FP-VEG-007,2,stockout
2,11,111,Fresh Produce,,2,outside
2,11,182,Snacks and Confectionery,,2,outside
2,11,182,Beverages (Non-Alcoholic),,2,outside
2,11,182,Meat and Poultry,,1,outside
2,12,70,Fresh Produce,,4,outside
2,12,222,Household and Cleaning Supplies,,1,outside
2,12,222,Snacks and Confectionery,,2,outside
2,12,222,Fresh Produce,,5,outside
2,12,222,Meat and Poultry,,3,outside
2,12,222,Beverages (Non-Alcoholic),,1,outside
2,13,110,Meat and Poultry,,1,outside
2,13,110,Alcoholic Beverages,,1,outside
2,13,110,Seafood,,1,outside
2,13,150,Personal Care and Health,PH-VIT-002,1,budget
2,13,150,Dairy and Eggs,,2,budget
2,13,150,Seafood,,1,budget
2,13,150,Snacks and Confectionery,,1,budget
2,13,150,Pantry Staples and Packaged Goods,,3,budget
2,13,150,Meat and Poultry,,1,budget
2,13,237,Pantry Staples and Packaged Goods,,4,outside
2,14,255,Bakery and Bread,,2,outside
2,15,82,Frozen Foods,FF-FVG-008,1,stockout
2,15,82,Pantry Staples and Packaged Goods,,8,outside
2,15,82,Fresh Produce,,6,outside
2,15,82,Beverages (Non-Alcoholic),,4,outside
2,16,8,Fresh Produce,,4,outside
2,16,8,Snacks and Confectionery,,1,outside
2,16,24,Frozen Foods,,3,outside
2,16,36,Snacks and Confectionery,,1,outside
2,16,80,Frozen Foods,,3,outside
2,16,80,Meat and Poultry,,2,outside
