kind,table,key,date,delta,note
void_pair,receipts,4161,2025-03-30,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,892,2025-01-18,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,10145,2025-08-01,2,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,14779,2025-11-09,1,mis-ring of BN-COF-009 voided at the till
void_pair,receipts,1005,2025-01-21,2,mis-ring of PP-PAS-011 voided at the till
void_pair,receipts,5307,2025-04-25,2,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,8025,2025-06-20,2,mis-ring of HC-DET-012 voided at the till
void_pair,receipts,5579,2025-04-30,1,mis-ring of PP-OIL-005 voided at the till
void_pair,receipts,7276,2025-06-05,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,15436,2025-11-26,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,429,2025-01-10,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,9079,2025-07-12,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,13457,2025-10-11,2,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,2589,2025-02-27,1,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,10356,2025-08-05,1,mis-ring of FP-VEG-007 voided at the till
void_pair,receipts,11734,2025-09-04,1,mis-ring of MP-PRM-009 voided at the till
void_pair,receipts,12812,2025-09-27,2,mis-ring of FP-VEG-008 voided at the till
void_pair,receipts,8775,2025-07-05,1,mis-ring of MP-CHI-007 voided at the till
void_pair,receipts,11227,2025-08-24,2,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,7119,2025-06-01,2,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,2763,2025-03-01,1,mis-ring of BN-JUI-002 voided at the till
void_pair,receipts,3041,2025-03-07,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,12561,2025-09-21,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,10674,2025-08-13,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,3170,2025-03-09,1,mis-ring of FF-ICE-008 voided at the till
void_pair,receipts,14210,2025-10-28,1,mis-ring of AB-WIN-005 voided at the till
void_pair,receipts,6771,2025-05-25,1,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,15854,2025-12-05,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,1216,2025-01-26,2,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,336,2025-01-08,1,mis-ring of SC-SAV-003 voided at the till
void_pair,receipts,8005,2025-06-19,2,mis-ring of PH-VIT-011 voided at the till
void_pair,receipts,12927,2025-09-29,1,mis-ring of SC-NUT-010 voided at the till
void_pair,receipts,9049,2025-07-11,2,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,8580,2025-06-30,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,4167,2025-03-30,2,mis-ring of SF-SPR-007 voided at the till
void_pair,receipts,15441,2025-11-26,1,mis-ring of FF-ICE-009 voided at the till
void_pair,receipts,7126,2025-06-01,2,mis-ring of PH-WEL-012 voided at the till
void_pair,receipts,4114,2025-03-29,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,14846,2025-11-12,1,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,1189,2025-01-25,1,mis-ring of PH-OTC-012 voided at the till
void_pair,receipts,9332,2025-07-17,2,mis-ring of AB-SPI-007 voided at the till
void_pair,receipts,16992,2025-12-28,1,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,6359,2025-05-17,2,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,7435,2025-06-07,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,12180,2025-09-13,2,mis-ring of PH-OTC-010 voided at the till
void_pair,receipts,1327,2025-01-29,2,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,6810,2025-05-26,2,mis-ring of BB-BKG-009 voided at the till
