month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash
1,60569.50000000011,41654.77854562873,1160.6613714012246,0.0,0.0,2236.7442129642586,141.41995669064346,400.0,2502.373965950601,0.0,0.0,15794.183290511915
2,51576.97000000006,37559.40931063787,1160.6613714012246,0.0,0.0,2024.163332610759,146.12933106556045,400.0,1777.0759726032916,0.0,0.0,24303.713972194106
3,64924.26000000001,57875.57018892203,1160.6613714012246,0.0,0.0,2245.8013989640685,100.43722923144865,80.0,930.9112004448771,0.0,0.0,26834.59258323088
4,63965.779999999955,49936.479626174514,1160.6613714012246,0.0,0.0,2177.826584236792,187.73671758559752,0.0,1651.5462992597377,0.0,0.0,35686.12198457187
5,65267.73999999976,46400.6354217711,1160.6613714012246,0.0,0.0,2255.2041708941492,104.45475232394138,0.0,2127.440012875605,0.0,0.0,48905.46625530451
6,63405.79999999967,63352.59703630966,1160.6613714012246,0.0,0.0,2186.944757680039,86.12107457790006,0.0,167.58579931999247,0.0,0.0,45357.3562160141
7,66725.22999999978,53238.95735930859,1160.6613714012246,0.0,0.0,2264.6463105617377,170.57900436005346,0.0,1543.724424291845,0.0,0.0,53704.01774608897
8,65606.64999999997,47742.00888347974,1160.6613714012246,0.0,0.0,2269.459914677341,95.84197650425008,0.0,2048.7156358034317,0.0,0.0,65993.9799642225
9,59789.71000000005,59775.21106900977,1160.6613714012246,0.0,0.0,2200.7690156057065,73.66462955013546,0.0,145.5102416293439,0.0,0.0,62427.8736370249
10,60881.12999999921,47664.42055780386,1160.6613714012246,0.0,0.0,3054.8024110674046,154.58548724418495,0.0,1546.4944733124084,0.0,0.0,69728.03933619277
11,61332.51999999952,44696.883658602404,1160.6613714012246,0.0,0.0,2726.244415843293,83.71334680593323,0.0,1813.3025989143152,0.0,0.0,80579.75394462315
12,60413.330000000125,60666.54220985241,1160.6613714012246,0.0,0.0,2655.5837279868906,192.4311418200248,0.0,98.26584935633855,0.0,0.0,76219.59964420222
