uid,qty,unit_cost,order_date,delivery_date,posted_date
AB-SPI-004,26,14.4828,2025-01-06,2025-01-08,2025-01-08
AB-SPI-010,4,27.2494,2025-01-06,2025-01-08,2025-01-08
AB-WIN-005,51,8.5284,2025-01-06,2025-01-08,2025-01-08
BB-BKG-007,143,1.2912,2025-01-06,2025-01-08,2025-01-08
BB-BKG-008,17,1.4096,2025-01-06,2025-01-08,2025-01-08
BB-BKG-009,143,1.1934,2025-01-06,2025-01-08,2025-01-08
BB-FBR-009,141,1.2676,2025-01-06,2025-01-08,2025-01-08
BB-PAS-007,141,1.3589,2025-01-06,2025-01-08,2025-01-08
BB-PAS-008,141,1.5066,2025-01-06,2025-01-08,2025-01-08
BN-BTW-003,14,2.019,2025-01-06,2025-01-08,2025-01-08
BN-BTW-009,477,0.7843,2025-01-06,2025-01-08,2025-01-08
BN-COF-004,165,4.4198,2025-01-06,2025-01-08,2025-01-08
BN-COF-009,57,1.9571,2025-01-06,2025-01-08,2025-01-08
BN-JUI-006,160,2.9248,2025-01-06,2025-01-08,2025-01-08
DE-CRE-007,183,1.29,2025-01-06,2025-01-08,2025-01-08
DE-CRE-009,282,1.2069,2025-01-06,2025-01-08,2025-01-08
DE-MIL-007,280,1.0008,2025-01-06,2025-01-08,2025-01-08
DE-MIL-008,50,0.8611,2025-01-06,2025-01-08,2025-01-08
DE-MIL-009,287,0.816,2025-01-06,2025-01-08,2025-01-08
DE-YOG-008,174,1.1904,2025-01-06,2025-01-08,2025-01-08
FP-FRU-005,23,1.8461,2025-01-06,2025-01-08,2025-01-08
FP-HER-007,30,1.4353,2025-01-06,2025-01-08,2025-01-08
FP-HER-008,404,1.8583,2025-01-06,2025-01-08,2025-01-08
FP-HER-009,318,1.4292,2025-01-06,2025-01-08,2025-01-08
FP-VEG-007,213,1.7642,2025-01-06,2025-01-08,2025-01-08
FP-VEG-008,399,1.7352,2025-01-06,2025-01-08,2025-01-08
FF-DES-009,54,1.7805,2025-01-06,2025-01-08,2025-01-08
FF-FVG-007,54,1.3487,2025-01-06,2025-01-08,2025-01-08
FF-FVG-008,54,1.3406,2025-01-06,2025-01-08,2025-01-08
FF-FVG-009,54,1.4358,2025-01-06,2025-01-08,2025-01-08
FF-ICE-008,49,1.783,2025-01-06,2025-01-08,2025-01-08
FF-ICE-009,54,1.6898,2025-01-06,2025-01-08,2025-01-08
HC-CAG-003,13,8.9001,2025-01-06,2025-01-08,2025-01-08
HC-CAG-012,4,8.4932,2025-01-06,2025-01-08,2025-01-08
HC-DET-003,4,6.7011,2025-01-06,2025-01-08,2025-01-08
HC-DET-010,15,8.0463,2025-01-06,2025-01-08,2025-01-08
HC-KIT-010,20,7.6632,2025-01-06,2025-01-08,2025-01-08
HC-KIT-011,2,9.083,2025-01-06,2025-01-08,2025-01-08
HC-PAP-001,2,9.2559,2025-01-06,2025-01-08,2025-01-08
HC-PAP-011,11,7.2762,2025-01-06,2025-01-08,2025-01-08
MP-CHI-007,73,3.43,2025-01-06,2025-01-08,2025-01-08
MP-POR-007,67,3.0924,2025-01-06,2025-01-08,2025-01-08
MP-PRM-006,69,3.611,2025-01-06,2025-01-08,2025-01-08
