t,token,payment,value
2,,cash,5.38
2,C3C6E6D55,card,8.09
2,CDAA6F324,card,8.09
2,C78DD78F3,card,20.39
2,,cash,11.15
3,CB54C4411,card,12.79
3,C5384CDE0,card,3.38
3,CF1BB53BF,card,0.99
4,C8FF3D90E,card,19.79
4,C2E2A5EDD,card,1.98
4,CCC62A4AC,card,12.79
5,C6A992A7B,card,5.79
5,,cash,1.69
5,CA7083999,card,8.09
6,C4540BF68,card,11.15
6,CE3770527,card,5.18
7,C81AF8AF6,card,3.58
7,C1FE61045,card,25.58
8,,cash,4.38
9,,cash,7.58
9,CFA8C65B2,card,11.59
9,C98C4EB01,card,3.58
9,,cash,5.27
10,CD533F6AF,card,6.18
11,C736A7C7E,card,1.9
11,C11A2C5CD,card,7.79
11,CAFD94B9C,card,3.79
11,,cash,2.55
11,,cash,2.29
11,,cash,8.79
11,C28B72258,card,5.57
12,CC6EFA817,card,13.0
12,C652631E6,card,1.29
12,,cash,8.09
12,CA1953D04,card,0.99
12,,cash,8.79
13,,cash,15.48
13,,cash,11.15
13,C1A7317C0,card,7.89
14,CB8AB9D9F,card,2.29
15,,cash,7.17
15,CF519693D,card,4.38
15,C9351EE8C,card,9.08
16,,cash,5.3
16,,cash,2.58
18,,cash,20.39
18,C0C2FC948,card,3.58
18,CAA664F07,card,2.29
18,C489ED4D6,card,1.9
18,,cash,3.38
19,C850DA074,card,8.38
19,C234429C3,card,3.18
19,,cash,3.18
19,C5FB33561,card,9.39
20,CFDEBBB30,card,4.38
20,C9C22008F,card,19.79
20,C3A5A865E,card,8.09
20,CD8910C2D,card,1.29
20,,cash,2.45
21,C15001B4B,card,0.99
22,,cash,5.56
22,C516FE6E9,card,2.09
23,,cash,7.66
23,C8DDEF277,card,5.1
23,C2C157BC6,card,1.19
23,,cash,3.09
24,C68844764,card,1.98
24,C06BCCD33,card,5.57
24,CA4F35282,card,0.99
24,C432BD851,card,7.79
25,CE1625E20,card,8.49
25,,cash,9.08
25,C1DD12D4E,card,0.99
25,CBC09B31D,card,1.79
25,C5A4038EC,card,7.58
25,CF878BEBB,card,6.78
25,C96AF040A,card,3.18
25,,cash,2.09
26,CD31E13A8,card,4.72
26,,cash,2.42
26,,cash,1.04
26,CADC46485,card,2.46
27,,cash,1.29
28,,cash,21.43
28,C886BF9F2,card,10.09
29,,cash,1.19
29,,cash,11.05
30,C63114AEF,card,0.99
30,,cash,0.99
30,C9F80560D,card,7.76
30,C3DB8DFDC,card,1.19
30,CDBEF25AB,card,5.79
30,,cash,1.79
30,C185E30C9,card,9.39
31,CB696B698,card,7.38
31,C54CD3C57,card,7.37
32,,cash,8.79
32,C913C0BF5,card,11.59
32,C2F749144,card,18.53
32,CCDAB1713,card,16.18
33,,cash,3.38
33,,cash,3.18
33,CA8516800,card,8.09
33,C4689F1DF,card,14.19
34,,cash,4.3
34,,cash,1.49
34,,cash,4.38
36,CBF67C89B,card,1.29
36,C5D9E4E6A,card,1.09
37,CFBD6D439,card,1.89
38,C9A0D5D88,card,1.98
38,,cash,1.89
39,CD67C2916,card,1.49
39,C74B4AEE5,card,1.19
39,C12EB34B4,card,3.09
39,CB123BA03,card,3.09
40,,cash,8.09
40,CED9289A1,card,2.59
40,C8BC90F70,card,17.08
40,C2A0194CF,card,9.59
40,CC8381A9E,card,8.76
42,C666F606D,card,2.29
42,C04A7E63C,card,16.18
43,,cash,10.98
43,C4116F55A,card,8.09
44,CDF4D7B29,card,3.09
44,C7D85C0F8,card,7.58
44,,cash,3.09
44,CB9F4CC06,card,3.08
45,C582B55D5,card,5.18
46,CF663DBA4,card,8.88
46,C949A2173,card,2.38
46,C32D2A6C2,card,2.19
46,CD1092C91,card,8.09
47,C6F41B260,card,9.58
47,C0D78383F,card,1.29
47,CABB0818E,card,2.59
47,,cash,3.8
47,CE81F8D2C,card,1.29
48,,cash,2.58
48,C248E984A,card,11.09
49,CC2C51E19,card,2.09
49,C60FC67E8,card,12.99
49,CFF34EDA7,card,2.19
49,C9D6B7376,card,6.17
50,C3BA3F8C5,card,8.6
50,CD9DA7E94,card,2.78
50,C7812C463,card,3.18
50,C16494A32,card,0.99
51,CB481D381,card,3.09
51,C52B85950,card,2.58
51,CF0F0DF2F,card,4.18
51,C8F2724FE,card,9.39
51,C2D5FAA4D,card,2.59
52,CCB96301C,card,1.59
52,C69CEB9EB,card,2.19
52,,cash,1.29
52,,cash,1.99
53,C44740AD8,card,13.17
53,,cash,5.3
53,,cash,12.09
53,C1F1B9C35,card,0.99
53,CBD52E584,card,2.38
53,,cash,3.69
54,CF9C1F122,card,11.05
54,,cash,3.6
54,C3630FC40,card,1.88
54,CD467421F,card,2.52
55,,cash,1.59
56,C10D651BD,card,1.79
57,CAF0ED70C,card,0.99
57,C4D455CDB,card,21.33
57,,cash,3.69
57,,cash,0.99
57,C27ECB1C8,card,11.78
58,CC6233787,card,9.39
59,,cash,3.58
59,,cash,10.38
59,CA0CA88F4,card,4.58
59,,cash,1.19
59,,cash,1.79
60,C7B701DE1,card,9.39
61,C19A763B0,card,1.98
61,CB7DFE90F,card,13.0
61,C56166EDE,card,3.19
61,,cash,10.64
61,,cash,3.69
61,C30BDC3CB,card,1.98
61,CCEF4499A,card,2.55
61,,cash,4.38
61,C0B635538,card,4.29
61,CA99BDAF7,card,3.69
62,,cash,2.78
62,CE60AA615,card,1.98
62,,cash,5.79
63,,cash,7.56
64,CC0B03B02,card,7.79
64,C5EE880D1,card,14.49
64,,cash,2.78
64,C9B578C7F,card,1.98
64,C398E15CE,card,4.3
64,,cash,3.78
64,,cash,0.99
65,C1434673B,card,3.38
65,,cash,1.79
65,C50A37259,card,8.49
65,CEEDBF828,card,2.38
65,,cash,5.19
65,C2B4AC7B6,card,1.79
65,CC9814D05,card,3.79
65,C67B9D2D4,card,11.08
66,C05F058A3,card,0.99
66,CA428DE72,card,0.99
66,C425F27C1,card,4.29
67,CE097AD90,card,12.46
67,C7ECE336F,card,1.99
67,,cash,4.18
67,,cash,1.39
67,,cash,10.47
67,,cash,1.79
67,C95E493FA,card,3.38
67,C341B1949,card,1.79
67,CD2539F18,card,11.15
67,,cash,2.19
67,,cash,16.78
67,,cash,15.88
67,,cash,1.79
68,CE968FF93,card,13.69
68,C879F4562,card,9.44
69,C25D7CB31,card,2.09
69,,cash,3.79
70,,cash,1.98
70,C007D5C2E,card,4.57
70,C9EB5A5FD,card,4.17
71,C3CEC2B4C,card,17.28
71,CDB24B11B,card,11.57
72,C795B36EA,card,5.28
72,C1793BCB9,card,0.99
72,CB5CA0208,card,4.29
72,C54028BC7,card,2.29
73,,cash,1.19
73,C90719765,card,1.59
73,,cash,6.44
73,,cash,3.69
73,C6B17E852,card,4.29
73,C094E6E21,card,6.18
73,CA786F7F0,card,11.65
73,,cash,21.28
73,,cash,3.58
73,C822C48ED,card,17.07
73,C2064CEBC,card,2.65
73,CBE9B540B,card,3.19
73,,cash,1.98
74,,cash,2.78
74,,cash,1.59
74,,cash,1.39
74,CD5B1B486,card,0.99
74,,cash,14.45
74,C12208024,card,0.99
74,CB05709F3,card,0.99
74,,cash,11.18
74,,cash,7.57
74,C8AFE9AE0,card,2.59
74,C2935E0BF,card,3.18
75,,cash,3.58
75,,cash,8.09
75,,cash,2.65
75,,cash,11.58
75,C404A40CA,card,9.39
75,,cash,18.67
75,,cash,7.56
76,,cash,1.98
76,CB9285BF6,card,7.79
76,C5760A145,card,3.18
