week,category,forecast_weekly,oracle
1,Alcoholic Beverages,141.70583612387588,0
1,Bakery and Bread,307.8334927824417,0
1,Beverages (Non-Alcoholic),483.737170098355,0
1,Dairy and Eggs,561.0084691443765,0
1,Fresh Produce,666.6230620380153,0
1,Frozen Foods,130.58602932516106,0
1,Household and Cleaning Supplies,101.04219464119512,0
1,Meat and Poultry,171.15306760826834,0
1,Pantry Staples and Packaged Goods,571.712878884015,0
1,Personal Care and Health,80.9922281910469,0
1,Seafood,62.14593685984356,0
1,Snacks and Confectionery,224.18282890236034,0
2,Alcoholic Beverages,130.55389074925057,0
2,Bakery and Bread,406.9723285216278,0
2,Beverages (Non-Alcoholic),443.65811339890337,0
2,Dairy and Eggs,713.3389794295842,0
2,Fresh Produce,656.9987080253436,0
2,Frozen Foods,170.97401955010739,0
2,Household and Cleaning Supplies,100.19479642746342,0
2,Meat and Poultry,194.6020450721789,0
2,Pantry Staples and Packaged Goods,615.9752525893433,0
2,Personal Care and Health,88.91148546069793,0
2,Seafood,83.76395790656238,0
2,Snacks and Confectionery,200.03855260157354,0
3,Alcoholic Beverages,104.90194537462529,0
3,Bakery and Bread,528.1111642608139,0
3,Beverages (Non-Alcoholic),430.8290566994517,0
3,Dairy and Eggs,913.9194897147921,0
3,Fresh Produce,686.8743540126718,0
3,Frozen Foods,231.1120097750537,0
3,Household and Cleaning Supplies,89.09739821373171,0
3,Meat and Poultry,237.30102253608945,0
3,Pantry Staples and Packaged Goods,668.9876262946716,0
3,Personal Care and Health,87.08074273034896,0
3,Seafood,110.38197895328119,0
3,Snacks and Confectionery,175.39427630078677,0
4,Alcoholic Beverages,79.75,0
4,Bakery and Bread,648.0,0
4,Beverages (Non-Alcoholic),391.5,0
4,Dairy and Eggs,1076.25,0
4,Fresh Produce,678.0,0
4,Frozen Foods,287.5,0
4,Household and Cleaning Supplies,75.75,0
4,Meat and Poultry,269.25,0
4,Pantry Staples and Packaged Goods,719.5,0
4,Personal Care and Health,85.75,0
4,Seafood,137.5,0
4,Snacks and Confectionery,152.0,0
5,Alcoholic Beverages,62.25,0
5,Bakery and Bread,788.0,0
5,Beverages (Non-Alcoholic),430.25,0
5,Dairy and Eggs,1295.25,0
