month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash
1,60327.06000000009,41674.95937799946,1160.6613714012246,0.0,0.0,2236.7442129642586,140.6382987667581,480.0,2465.5625449832987,0.0,0.0,15489.155537032368
2,51419.8800000001,37157.64822770752,1160.6613714012246,0.0,0.0,2024.163332610759,145.30601066241522,400.0,1821.1861023786241,0.0,0.0,24200.070492272793
3,65296.29999999984,58380.38933738109,1160.6613714012246,0.0,0.0,2245.8013989640685,98.72671741324125,80.0,919.5696517805418,0.0,0.0,26611.222015332987
4,61419.64000000004,47640.05788956128,1160.6613714012246,0.0,0.0,2177.826584236792,186.26466813514116,0.0,1625.3358314730722,0.0,0.0,35240.71567052449
5,66378.23999999986,47496.997241232755,1160.6613714012246,0.0,0.0,2255.2041708941492,107.95072294728088,0.0,2137.1920551649428,0.0,0.0,48460.95010888301
6,63212.20999999953,63344.45168439823,1160.6613714012246,0.0,0.0,2186.944757680039,85.45284145749783,0.0,136.81599195224317,0.0,0.0,44758.83346199213
7,66472.8499999995,52843.36309490406,1160.6613714012246,0.0,0.0,2264.6463105617377,171.75597108059628,0.0,1576.2600654784483,0.0,0.0,53214.99664856402
8,65558.15999999977,47810.1039635914,1160.6613714012246,0.0,0.0,2269.459914677341,95.0488856738521,0.0,2019.2827109260552,0.0,0.0,65418.59980229356
9,59573.709999999686,60690.411537246815,1160.6613714012246,0.0,0.0,2200.7690156057065,73.97029191341403,0.0,26.915130229205715,0.0,0.0,60839.582455895266
10,62067.74999999935,48481.86878567558,1160.6613714012246,0.0,0.0,3054.8024110674046,154.25875437814705,0.0,1581.4435441939077,0.0,0.0,68474.29758917555
11,62033.609999999564,44852.97204639467,1160.6613714012246,0.0,0.0,2726.244415843293,83.28362784163974,0.0,1880.461609942703,0.0,0.0,79804.2845177499
12,59933.950000000084,60213.437804730616,1160.6613714012246,0.0,0.0,2655.5837279868906,192.73873635618213,0.0,84.57255569282734,0.0,0.0,75431.24032157887
