receipt_id,hour,payment,customer_id,uid,qty,unit_price,promo,ref_receipt_id,date
1,8,cash,,FP-HER-009,10,1.69,0,,2025-01-02
1,8,cash,,MP-PRM-009,3,2.65,0,,2025-01-02
1,8,cash,,BN-BTW-009,3,0.99,0,,2025-01-02
1,8,cash,,DE-MIL-009,13,0.99,0,,2025-01-02
1,8,cash,,PP-CNG-004,11,2.29,0,,2025-01-02
1,8,cash,,PH-VIT-011,1,16.29,0,,2025-01-02
1,8,cash,,BB-FBR-009,2,1.59,0,,2025-01-02
2,8,card,CE3779B10,SC-NUT-003,1,8.09,0,,2025-01-02
2,8,card,CE3779B10,AB-WIN-003,1,22.39,0,,2025-01-02
3,8,card,C8441B1D3,HC-PAP-010,1,14.49,0,,2025-01-02
3,8,card,C8441B1D3,PP-CNG-007,6,1.29,0,,2025-01-02
3,8,card,C8441B1D3,MP-PRM-007,2,3.09,0,,2025-01-02
3,8,card,C8441B1D3,FF-DES-009,4,2.29,0,,2025-01-02
4,9,card,C1FE68E72,SF-SPR-004,1,3.09,0,,2025-01-02
4,9,card,C1FE68E72,MP-CHI-007,2,4.3,0,,2025-01-02
5,9,card,C78125A54,PH-VIT-002,1,14.15,0,,2025-01-02
5,9,card,C78125A54,FP-VEG-007,4,2.09,0,,2025-01-02
6,9,cash,,HC-KIT-010,1,11.59,0,,2025-01-02
6,9,cash,,PH-OTC-012,1,12.79,0,,2025-01-02
7,9,cash,,BB-BKG-009,2,1.49,0,,2025-01-02
7,9,cash,,BN-COF-009,1,2.55,0,,2025-01-02
7,9,cash,,DE-MIL-009,4,0.99,0,,2025-01-02
7,9,cash,,PP-CNG-007,2,1.29,0,,2025-01-02
7,9,cash,,SC-CHO-012,1,8.09,0,,2025-01-02
8,9,card,CDD390A25,BN-JUI-006,2,3.79,0,,2025-01-02
8,9,card,CDD390A25,HC-KIT-011,1,12.29,0,,2025-01-02
8,9,card,CDD390A25,MP-PRM-007,2,3.09,0,,2025-01-02
9,9,card,C59751A6B,AB-WIN-004,1,10.49,0,,2025-01-02
9,9,card,C59751A6B,BB-FBR-009,1,1.59,0,,2025-01-02
9,9,card,C59751A6B,BN-BTW-009,1,0.99,0,,2025-01-02
9,9,card,C59751A6B,FF-FVG-008,6,1.79,0,,2025-01-02
9,9,card,C59751A6B,SF-SPR-007,1,3.69,0,,2025-01-02
10,9,cash,,PP-PAS-011,4,5.79,0,,2025-01-02
10,9,cash,,AB-WIN-001,1,19.8,0,,2025-01-02
11,10,card,C04A7780B,BB-PAS-008,1,1.79,0,,2025-01-02
11,10,card,C04A7780B,SF-SPR-007,1,3.69,0,,2025-01-02
11,10,card,C04A7780B,PH-TOI-003,1,14.19,0,,2025-01-02
11,10,card,C04A7780B,DE-MIL-007,10,1.19,0,,2025-01-02
11,10,card,C04A7780B,HC-PAP-010,1,14.49,0,,2025-01-02
11,10,card,C04A7780B,FF-FVG-008,2,1.79,0,,2025-01-02
11,10,card,C04A7780B,FP-VEG-007,2,2.09,0,,2025-01-02
12,10,card,C25D75506,BB-FBR-009,5,1.59,0,,2025-01-02
12,10,card,C25D75506,BN-BTW-009,1,0.99,0,,2025-01-02
12,10,card,C25D75506,FP-HER-008,1,2.09,0,,2025-01-02
12,10,card,C25D75506,DE-MIL-008,5,1.1,0,,2025-01-02
13,11,cash,,BB-FBR-009,7,1.59,0,,2025-01-02
13,11,cash,,HC-CAG-003,1,13.0,0,,2025-01-02
13,11,cash,,AB-SPI-006,1,20.39,0,,2025-01-02
13,11,cash,,SF-SPR-009,1,2.69,0,,2025-01-02
14,11,cash,,DE-MIL-009,10,0.99,0,,2025-01-02
14,11,cash,,SF-SPR-009,2,2.69,0,,2025-01-02
