uid,units,date,reason
BB-BKG-007,1,2025-01-01,spoilage
BB-BKG-009,1,2025-01-01,spoilage
BB-FBR-009,3,2025-01-01,spoilage
BB-PAS-007,1,2025-01-01,spoilage
BB-PAS-008,3,2025-01-01,spoilage
DE-CRE-007,3,2025-01-01,spoilage
DE-MIL-007,3,2025-01-01,spoilage
DE-MIL-008,1,2025-01-01,spoilage
DE-YOG-008,1,2025-01-01,spoilage
FP-FRU-005,1,2025-01-01,spoilage
FP-HER-007,3,2025-01-01,spoilage
FP-HER-008,2,2025-01-01,spoilage
FP-HER-009,3,2025-01-01,spoilage
FP-VEG-007,1,2025-01-01,spoilage
FP-VEG-008,1,2025-01-01,spoilage
SF-SPR-008,1,2025-01-01,spoilage
SF-SPR-009,1,2025-01-01,spoilage
BB-BKG-007,1,2025-01-02,spoilage
BB-BKG-008,5,2025-01-02,spoilage
BB-BKG-009,1,2025-01-02,spoilage
DE-CRE-007,1,2025-01-02,spoilage
DE-MIL-008,1,2025-01-02,spoilage
DE-YOG-008,1,2025-01-02,spoilage
FP-FRU-005,3,2025-01-02,spoilage
FP-HER-007,3,2025-01-02,spoilage
FP-HER-008,2,2025-01-02,spoilage
FP-HER-009,1,2025-01-02,spoilage
FP-VEG-007,3,2025-01-02,spoilage
FP-VEG-008,2,2025-01-02,spoilage
MP-POR-007,1,2025-01-02,spoilage
SF-SHL-009,1,2025-01-02,spoilage
SF-SPR-009,1,2025-01-02,spoilage
BB-BKG-008,2,2025-01-03,spoilage
BB-BKG-009,1,2025-01-03,spoilage
BB-FBR-009,1,2025-01-03,spoilage
BB-PAS-008,1,2025-01-03,spoilage
DE-MIL-008,1,2025-01-03,spoilage
DE-YOG-008,1,2025-01-03,spoilage
FP-FRU-005,1,2025-01-03,spoilage
FP-HER-007,2,2025-01-03,spoilage
FP-VEG-007,1,2025-01-03,spoilage
FP-VEG-008,2,2025-01-03,spoilage
MP-POR-007,1,2025-01-03,spoilage
MP-PRM-008,1,2025-01-03,spoilage
BB-PAS-007,2,2025-01-04,spoilage
DE-CRE-007,1,2025-01-04,spoilage
DE-CRE-009,2,2025-01-04,spoilage
DE-YOG-008,1,2025-01-04,spoilage
FP-FRU-005,1,2025-01-04,spoilage
FP-HER-008,1,2025-01-04,spoilage
FP-VEG-007,1,2025-01-04,spoilage
FP-VEG-008,2,2025-01-04,spoilage
MP-PRM-006,1,2025-01-04,spoilage
SF-FFF-009,1,2025-01-04,spoilage
DE-MIL-008,3,2025-01-05,spoilage
DE-YOG-008,1,2025-01-05,spoilage
MP-POR-007,1,2025-01-05,spoilage
MP-PRM-006,1,2025-01-05,spoilage
BB-BKG-008,2,2025-01-06,spoilage
DE-MIL-008,1,2025-01-06,spoilage
DE-YOG-008,1,2025-01-06,spoilage
FP-FRU-005,2,2025-01-06,spoilage
BB-BKG-008,2,2025-01-07,spoilage
FP-FRU-005,2,2025-01-07,spoilage
FP-HER-009,1,2025-01-07,spoilage
FP-VEG-007,1,2025-01-07,spoilage
BB-BKG-008,2,2025-01-08,spoilage
FP-FRU-005,1,2025-01-08,spoilage
BB-BKG-007,3,2025-01-09,spoilage
BB-BKG-009,3,2025-01-09,spoilage
BB-PAS-007,3,2025-01-09,spoilage
BB-PAS-008,2,2025-01-09,spoilage
DE-CRE-007,3,2025-01-09,spoilage
DE-CRE-009,1,2025-01-09,spoilage
DE-MIL-009,2,2025-01-09,spoilage
FP-FRU-005,3,2025-01-09,spoilage
FP-HER-007,1,2025-01-09,spoilage
FP-HER-008,1,2025-01-09,spoilage
FP-HER-009,7,2025-01-09,spoilage
FP-VEG-007,5,2025-01-09,spoilage
FP-VEG-008,3,2025-01-09,spoilage
MP-CHI-007,1,2025-01-09,spoilage
MP-POR-007,1,2025-01-09,spoilage
MP-PRM-008,1,2025-01-09,spoilage
MP-PRM-009,2,2025-01-09,spoilage
BB-BKG-007,1,2025-01-10,spoilage
BB-BKG-009,3,2025-01-10,spoilage
BB-FBR-009,2,2025-01-10,spoilage
BB-PAS-007,3,2025-01-10,spoilage
DE-CRE-007,3,2025-01-10,spoilage
DE-CRE-009,2,2025-01-10,spoilage
DE-MIL-007,3,2025-01-10,spoilage
DE-MIL-008,1,2025-01-10,spoilage
DE-MIL-009,1,2025-01-10,spoilage
DE-YOG-008,1,2025-01-10,spoilage
FP-HER-007,1,2025-01-10,spoilage
FP-HER-008,4,2025-01-10,spoilage
FP-HER-009,3,2025-01-10,spoilage
FP-VEG-007,1,2025-01-10,spoilage
MP-POR-007,3,2025-01-10,spoilage
MP-PRM-006,1,2025-01-10,spoilage
BB-BKG-007,3,2025-01-11,spoilage
BB-BKG-009,2,2025-01-11,spoilage
BB-FBR-009,1,2025-01-11,spoilage
DE-CRE-009,1,2025-01-11,spoilage
DE-MIL-008,1,2025-01-11,spoilage
FF-FVG-007,1,2025-01-11,spoilage
FP-HER-007,1,2025-01-11,spoilage
FP-HER-008,4,2025-01-11,spoilage
FP-HER-009,1,2025-01-11,spoilage
FP-VEG-008,3,2025-01-11,spoilage
MP-CHI-007,2,2025-01-11,spoilage
MP-PRM-008,1,2025-01-11,spoilage
MP-PRM-009,2,2025-01-11,spoilage
SF-SHL-009,1,2025-01-11,spoilage
DE-CRE-009,1,2025-01-12,spoilage
DE-YOG-008,2,2025-01-12,spoilage
FP-FRU-005,1,2025-01-12,spoilage
FP-HER-008,2,2025-01-12,spoilage
FP-HER-009,2,2025-01-12,spoilage
FP-VEG-007,1,2025-01-12,spoilage
FP-VEG-008,6,2025-01-12,spoilage
DE-CRE-009,2,2025-01-13,spoilage
DE-MIL-008,2,2025-01-13,spoilage
DE-YOG-008,1,2025-01-13,spoilage
FP-HER-008,3,2025-01-13,spoilage
FP-HER-009,4,2025-01-13,spoilage
FP-VEG-007,2,2025-01-13,spoilage
FP-VEG-008,6,2025-01-13,spoilage
FP-HER-008,3,2025-01-14,spoilage
FP-HER-009,3,2025-01-14,spoilage
FP-VEG-007,2,2025-01-14,spoilage
FP-VEG-008,5,2025-01-14,spoilage
BB-PAS-007,1,2025-01-15,spoilage
FP-HER-007,1,2025-01-15,spoilage
FP-HER-008,4,2025-01-15,spoilage
FP-HER-009,2,2025-01-15,spoilage
FP-VEG-008,1,2025-01-15,spoilage
MP-PRM-008,2,2025-01-15,spoilage
MP-PRM-009,1,2025-01-15,spoilage
BB-BKG-007,4,2025-01-16,spoilage
BB-BKG-008,1,2025-01-16,spoilage
BB-BKG-009,1,2025-01-16,spoilage
BB-FBR-009,5,2025-01-16,spoilage
BB-PAS-007,1,2025-01-16,spoilage
BB-PAS-008,2,2025-01-16,spoilage
DE-CRE-007,2,2025-01-16,spoilage
DE-CRE-009,4,2025-01-16,spoilage
DE-MIL-007,1,2025-01-16,spoilage
DE-YOG-008,1,2025-01-16,spoilage
FF-FVG-009,1,2025-01-16,spoilage
FF-ICE-008,1,2025-01-16,spoilage
FP-FRU-005,1,2025-01-16,spoilage
FP-HER-007,2,2025-01-16,spoilage
FP-HER-008,3,2025-01-16,spoilage
FP-HER-009,3,2025-01-16,spoilage
FP-VEG-007,2,2025-01-16,spoilage
FP-VEG-008,4,2025-01-16,spoilage
MP-POR-007,1,2025-01-16,spoilage
MP-PRM-007,1,2025-01-16,spoilage
MP-PRM-009,2,2025-01-16,spoilage
SF-SHL-009,1,2025-01-16,spoilage
SF-SPR-007,1,2025-01-16,spoilage
BB-BKG-007,1,2025-01-17,spoilage
BB-BKG-008,1,2025-01-17,spoilage
BB-BKG-009,1,2025-01-17,spoilage
BB-FBR-009,1,2025-01-17,spoilage
BB-PAS-008,1,2025-01-17,spoilage
DE-CRE-009,2,2025-01-17,spoilage
DE-MIL-007,2,2025-01-17,spoilage
DE-MIL-008,1,2025-01-17,spoilage
FP-FRU-005,1,2025-01-17,spoilage
FP-HER-007,2,2025-01-17,spoilage
FP-HER-008,3,2025-01-17,spoilage
FP-HER-009,3,2025-01-17,spoilage
FP-VEG-007,10,2025-01-17,spoilage
FP-VEG-008,7,2025-01-17,spoilage
MP-POR-007,1,2025-01-17,spoilage
MP-PRM-007,1,2025-01-17,spoilage
MP-PRM-008,1,2025-01-17,spoilage
SF-SPR-007,1,2025-01-17,spoilage
BB-BKG-007,1,2025-01-18,spoilage
BB-BKG-008,1,2025-01-18,spoilage
BB-BKG-009,1,2025-01-18,spoilage
BB-PAS-007,2,2025-01-18,spoilage
BB-PAS-008,2,2025-01-18,spoilage
DE-CRE-007,2,2025-01-18,spoilage
DE-CRE-009,5,2025-01-18,spoilage
DE-MIL-007,1,2025-01-18,spoilage
FP-FRU-005,1,2025-01-18,spoilage
FP-HER-008,1,2025-01-18,spoilage
FP-HER-009,2,2025-01-18,spoilage
FP-VEG-008,2,2025-01-18,spoilage
MP-PRM-006,2,2025-01-18,spoilage
SF-SPR-007,1,2025-01-18,spoilage
SF-SPR-008,1,2025-01-18,spoilage
BB-BKG-007,1,2025-01-19,spoilage
BB-BKG-008,1,2025-01-19,spoilage
BB-PAS-007,1,2025-01-19,spoilage
BB-PAS-008,1,2025-01-19,spoilage
DE-CRE-007,1,2025-01-19,spoilage
DE-MIL-008,1,2025-01-19,spoilage
FP-FRU-005,1,2025-01-19,spoilage
FP-HER-007,2,2025-01-19,spoilage
FP-HER-008,1,2025-01-19,spoilage
FP-HER-009,2,2025-01-19,spoilage
FP-VEG-007,1,2025-01-19,spoilage
FP-VEG-008,1,2025-01-19,spoilage
BB-PAS-007,2,2025-01-20,spoilage
DE-CRE-007,1,2025-01-20,spoilage
DE-MIL-008,1,2025-01-20,spoilage
FP-FRU-005,2,2025-01-20,spoilage
FP-HER-007,3,2025-01-20,spoilage
FP-HER-008,1,2025-01-20,spoilage
FP-HER-009,1,2025-01-20,spoilage
FP-VEG-008,3,2025-01-20,spoilage
MP-POR-007,1,2025-01-20,spoilage
DE-CRE-007,1,2025-01-21,spoilage
FP-FRU-005,2,2025-01-21,spoilage
FP-HER-007,3,2025-01-21,spoilage
FP-HER-008,5,2025-01-21,spoilage
FP-HER-009,1,2025-01-21,spoilage
FP-VEG-007,1,2025-01-21,spoilage
FP-VEG-008,5,2025-01-21,spoilage
MP-PRM-008,1,2025-01-21,spoilage
BB-BKG-008,1,2025-01-22,spoilage
BB-PAS-007,1,2025-01-22,spoilage
FP-FRU-005,1,2025-01-22,spoilage
FP-HER-008,3,2025-01-22,spoilage
FP-VEG-008,3,2025-01-22,spoilage
MP-PRM-006,1,2025-01-22,spoilage
BB-BKG-007,4,2025-01-23,spoilage
BB-BKG-009,7,2025-01-23,spoilage
BB-FBR-009,4,2025-01-23,spoilage
