kind,table,key,date,delta,note
void_pair,receipts,3184,2025-03-09,1,mis-ring of SC-CHO-012 voided at the till
void_pair,receipts,4337,2025-04-04,2,mis-ring of PH-VIT-010 voided at the till
void_pair,receipts,3956,2025-03-25,1,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,4270,2025-04-02,2,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,10192,2025-08-01,2,mis-ring of SF-SHL-009 voided at the till
void_pair,receipts,1488,2025-02-01,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,13709,2025-10-15,1,mis-ring of SC-CHO-002 voided at the till
void_pair,receipts,14847,2025-11-10,2,mis-ring of SF-SPR-009 voided at the till
void_pair,receipts,6510,2025-05-20,1,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,16457,2025-12-14,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,8454,2025-06-27,2,mis-ring of SC-CHO-012 voided at the till
void_pair,receipts,6951,2025-05-28,2,mis-ring of FP-FRU-005 voided at the till
void_pair,receipts,431,2025-01-10,1,mis-ring of BB-BKG-008 voided at the till
void_pair,receipts,9121,2025-07-12,1,mis-ring of BN-COF-009 voided at the till
void_pair,receipts,8197,2025-06-21,1,mis-ring of MP-POR-007 voided at the till
void_pair,receipts,6685,2025-05-23,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,2776,2025-03-02,1,mis-ring of BB-FBR-009 voided at the till
void_pair,receipts,8619,2025-06-30,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,7309,2025-06-04,2,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,13519,2025-10-11,1,mis-ring of FP-HER-007 voided at the till
void_pair,receipts,5331,2025-04-25,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,6333,2025-05-17,1,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,8815,2025-07-05,1,mis-ring of AB-WIN-004 voided at the till
void_pair,receipts,6388,2025-05-17,1,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,9091,2025-07-11,1,mis-ring of PH-TOI-003 voided at the till
void_pair,receipts,3055,2025-03-08,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,15556,2025-11-28,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,11437,2025-08-28,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,896,2025-01-19,1,mis-ring of DE-CRE-007 voided at the till
void_pair,receipts,4180,2025-03-30,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,14040,2025-10-23,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,16869,2025-12-24,2,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,8062,2025-06-19,2,mis-ring of PP-PAS-011 voided at the till
void_pair,receipts,10500,2025-08-07,2,mis-ring of MP-CHI-007 voided at the till
void_pair,receipts,3185,2025-03-09,1,mis-ring of MP-PRM-006 voided at the till
void_pair,receipts,11278,2025-08-23,2,mis-ring of BB-BKG-008 voided at the till
void_pair,receipts,14914,2025-11-12,1,mis-ring of BB-PAS-007 voided at the till
void_pair,receipts,1009,2025-01-22,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,7166,2025-06-01,1,mis-ring of BN-COF-009 voided at the till
void_pair,receipts,15397,2025-11-24,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,2601,2025-02-27,1,mis-ring of SC-CAN-012 voided at the till
void_pair,receipts,12162,2025-09-13,2,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,12619,2025-09-21,1,mis-ring of BB-PAS-007 voided at the till
void_pair,receipts,7929,2025-06-15,2,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,1245,2025-01-26,2,mis-ring of DE-CRE-009 voided at the till
void_pair,receipts,1221,2025-01-26,2,mis-ring of FP-VEG-007 voided at the till
void_pair,receipts,15926,2025-12-05,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,11787,2025-09-05,1,mis-ring of DE-CRE-009 voided at the till
void_pair,receipts,6842,2025-05-25,2,mis-ring of BN-JUI-006 voided at the till
void_pair,receipts,13905,2025-10-19,2,mis-ring of HC-KIT-010 voided at the till
void_pair,receipts,1930,2025-02-12,1,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,700,2025-01-15,2,mis-ring of SF-SPR-007 voided at the till
void_pair,receipts,5867,2025-05-06,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,10723,2025-08-12,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,10196,2025-08-01,2,mis-ring of DE-MIL-007 voided at the till
void_pair,receipts,4552,2025-04-08,1,mis-ring of SC-COO-003 voided at the till
void_pair,receipts,3323,2025-03-13,1,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,13791,2025-10-17,1,mis-ring of AB-SPI-004 voided at the till
void_pair,receipts,12987,2025-10-01,1,mis-ring of PH-VIT-011 voided at the till
void_pair,receipts,3661,2025-03-20,2,mis-ring of BB-FBR-009 voided at the till
void_pair,receipts,15008,2025-11-15,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,12567,2025-09-20,1,mis-ring of MP-PRM-008 voided at the till
void_pair,receipts,5305,2025-04-25,1,mis-ring of MP-POR-007 voided at the till
void_pair,receipts,8041,2025-06-19,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,4133,2025-03-29,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,1194,2025-01-25,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,4187,2025-03-30,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,15507,2025-11-27,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,12468,2025-09-19,2,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,7469,2025-06-07,2,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,12870,2025-09-28,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,7152,2025-05-31,2,mis-ring of FP-VEG-007 voided at the till
void_pair,receipts,3494,2025-03-16,2,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,1637,2025-02-03,2,mis-ring of AB-SPI-001 voided at the till
void_pair,receipts,14275,2025-10-28,2,mis-ring of FF-ICE-009 voided at the till
void_pair,receipts,15511,2025-11-27,1,mis-ring of HC-DET-003 voided at the till
void_pair,receipts,9936,2025-07-26,2,mis-ring of BB-PAS-008 voided at the till
void_pair,receipts,8396,2025-06-26,1,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,1333,2025-01-29,2,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,137,2025-01-04,1,mis-ring of PH-HYG-012 voided at the till
void_pair,receipts,12163,2025-09-13,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,9375,2025-07-16,2,mis-ring of FF-ICE-009 voided at the till
void_pair,receipts,11051,2025-08-20,1,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,2095,2025-02-15,2,mis-ring of FP-HER-009 voided at the till
void_pair,receipts,8711,2025-07-03,2,mis-ring of PH-OTC-012 voided at the till
void_pair,receipts,8659,2025-07-02,2,mis-ring of FF-ICE-009 voided at the till
void_pair,receipts,14136,2025-10-25,2,mis-ring of SC-COO-012 voided at the till
void_pair,receipts,10403,2025-08-04,1,mis-ring of MP-PRM-009 voided at the till
void_pair,receipts,5604,2025-05-01,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,7159,2025-06-01,2,mis-ring of BB-BKG-009 voided at the till
void_pair,receipts,4555,2025-04-08,1,mis-ring of SF-SPR-007 voided at the till
void_pair,receipts,7429,2025-06-07,2,mis-ring of FP-VEG-008 voided at the till
