month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash
1,60569.50000000011,41654.77854562873,1160.6613714012246,0.0,0.0,2236.7442129642586,141.41995669064346,400.0,2502.373965950601,0.0,0.0,15794.183290511915
2,51576.97000000006,37559.40931063787,1160.6613714012246,0.0,0.0,2024.163332610759,146.12933106556045,400.0,1777.0759726032916,0.0,0.0,24303.713972194106
3,64924.26000000001,57875.57018892203,1160.6613714012246,0.0,0.0,2245.8013989640685,100.43722923144865,80.0,930.9112004448771,0.0,0.0,26834.59258323088
4,61195.08000000006,47652.18860929288,1160.6613714012246,0.0,0.0,2177.826584236792,185.1555897820576,0.0,1587.443745591041,0.0,0.0,35266.39668292596
5,66762.32999999981,48083.542812627056,1160.6613714012246,0.0,0.0,2255.2041708941492,105.08119792696753,0.0,2092.798230280059,0.0,0.0,48331.43889979547
6,65677.74999999945,74101.09891116054,1160.6613714012246,0.0,0.0,2186.944757680039,98.79725437704548,0.0,-686.4692988559527,0.0,0.0,37148.15590403044
7,72077.46999999881,56989.25980157381,1160.6613714012246,0.0,0.0,2264.6463105617377,169.6049629361559,0.0,1767.8124512259983,0.0,0.0,46873.64100632966
8,70180.68999999894,50483.64545878391,1160.6613714012246,0.0,0.0,2269.459914677341,96.30969673756172,0.0,2237.952681042937,0.0,0.0,60806.301883684566
9,64505.589999999494,63547.0143943699,1160.6613714012246,0.0,0.0,2200.7690156057065,80.9190163052802,0.0,280.5722275450953,0.0,0.0,58041.95585845594
10,65667.24000000002,50374.12484872001,1160.6613714012246,0.0,0.0,3054.8024110674046,152.11456994477328,0.0,1787.5397042550412,0.0,0.0,67179.95295306598
11,64220.46999999904,46299.165506173624,1160.6613714012246,0.0,0.0,2726.244415843293,85.02296650663713,0.0,1971.0291522928428,0.0,0.0,79158.29954084601
12,63539.1099999986,62856.626474497854,1160.6613714012246,0.0,0.0,2655.5837279868906,192.24658509833043,0.0,204.7187248580476,0.0,0.0,75627.57265699962
